"old_name","current_name"
"Lactobacillus hordei","Liquorilactobacillus hordei"
"Lactobacillus kunkeei","Apilactobacillus kunkeei"
"Lactobacillus alimentarius","Companilactobacillus alimentarius"
"Lactobacillus fermentum","Limosilactobacillus fermentum"
"Lactobacillus curvatus","Latilactobacillus curvatus"
"Lactobacillus hilgardii","Lentilactobacillus hilgardii"
"Lactobacillus oligofermentans","Paucilactobacillus oligofermentans"
"Lactobacillus pentosus","Lactiplantibacillus pentosus"
"Lactobacillus buchneri","Lentilactobacillus buchneri"
"Lactobacillus harbinensis","Schleiferilactobacillus harbinensis"
"Lactobacillus amylophilus","Amylolactobacillus amylophilus"
"Lactobacillus mucosae","Limosilactobacillus mucosae"
"Lactobacillus futsaii","Companilactobacillus futsaii"
"Lactobacillus sakei","Latilactobacillus sakei"
"Lactobacillus dextrinicus","Lapidilactobacillus dextrinicus"
"Lactobacillus agilis","Ligilactobacillus agilis"
"Lactobacillus vaginalis","Limosilactobacillus vaginalis"
"Lactobacillus rossiae","Furfurilactobacillus rossiae"
"Lactobacillus coryniformis","Loigolactobacillus coryniformis"
"Lactobacillus acidipiscis","Ligilactobacillus acidipiscis"
"Lactobacillus sanfranciscensis","Fructilactobacillus sanfranciscensis"
"Lactobacillus mali","Liquorilactobacillus mali"
"Lactobacillus gastricus","Limosilactobacillus gastricus"
"Lactobacillus kefiri","Lentilactobacillus kefiri"
"Lactobacillus fuchuensis","Latilactobacillus fuchuensis"
"Lactobacillus graminis","Latilactobacillus graminis"
"Lactobacillus brevis","Levilactobacillus brevis"
"Lactobacillus koreensis","Levilactobacillus koreensis"
"Lactobacillus bifermentans","Loigolactobacillus bifermentans"
"Lactobacillus nagelii","Liquorilactobacillus nagelii"
"Lactobacillus malefermentans","Secundilactobacillus malefermentans"
"Lactobacillus paracollinoides","Secundilactobacillus paracollinoides"
"Lactobacillus paraplantarum","Lactiplantibacillus paraplantarum"
"Lactobacillus frumenti","Limosilactobacillus frumenti"
"Lactobacillus farciminis","Companilactobacillus farciminis"
"Lactobacillus manihotivorans","Lacticaseibacillus manihotivorans"
"Lactobacillus parabuchneri","Lentilactobacillus parabuchneri"
"Lactobacillus lindneri","Fructilactobacillus lindneri"
"Lactobacillus pontis","Limosilactobacillus pontis"
"Bacillus megaterium","Priestia megaterium"
"Bacillus circulans","Niallia circulans"
"Bacillus coagulans","Heyndrickxia coagulans"
"Bacillus horikoshii","Sutcliffiella horikoshii"
"Bacillus flexus","Priestia flexa"
"Bacillus cohnii","Sutcliffiella cohnii"
"Bacillus lentus","Lederbergia lenta"
"Bacillus cellulosilyticus","Evansella cellulosilytica"
"Brevibacterium frigoritolerans","Peribacillus frigoritolerans"
"Bacillus vietnamensis","Rossellomorea vietnamensis"
"Alkalihalobacillus krulwichiae","Halalkalibacter krulwichiae"
"Alkalihalobacillus pseudofirmus","Alkalihalophilus pseudofirmus"
"Alkalihalobacillus clausii","Shouchella clausii"
"Alkalihalobacillus lehensis","Shouchella lehensis"
"Alkalihalobacillus halodurans","Halalkalibacterium halodurans"
"Staphylococcus vitulinus","Mammaliicoccus vitulinus"
"Staphylococcus lentus","Mammaliicoccus lentus"
"Staphylococcus fleurettii","Mammaliicoccus fleurettii"
"Macrococcus caseolyticus","Macrococcoides caseolyticum"
"Planomicrobium glaciei","Planococcus glaciei"
"Exiguobacterium sibiricum","Exiguobacterium artemiae"
"Bacillus selenitireducens","Salisediminibacterium selenitireducens"
"Clostridium ultunense","Schnuerera ultunensis"
"Clostridium innocuum","[Clostridium] innocuum"
"Erysipelatoclostridium ramosum","Thomasclavelia ramosa"
"Bifidobacterium gallinarum","Bifidobacterium pullorum subsp. gallinarum"
"Rhodococcus fascians","Rhodococcoides fascians"
"Rhodococcus hoagii","Prescottella equi"
"Streptomyces albulus","Streptomyces noursei"
"Arthrobacter crystallopoietes","Crystallibacter crystallopoietes"
"Saccharomonospora sp. 31sw","Saccharomonospora xinjiangensis"
"Pseudopropionibacterium propionicum","Arachnia propionica"
"Atopobium parvulum","Lancefieldella parvula"
"Synechococcus lividus","Parathermosynechococcus lividus"
"Thermosynechococcus vulcanus","Thermostichus vulcanus"
"Oscillatoria acuminata","Oxynema acuminatum"
"Oscillatoria nigro-viridis","Phormidium nigroviride"
"Moorea producens","Moorena producens"
"Mycoplasma penetrans","Malacoplasma penetrans"
"Mycoplasma agalactiae","Mycoplasmopsis agalactiae"
"Mycoplasma bovis","Mycoplasmopsis bovis"
"Mycoplasma californicum","Mycoplasmopsis californica"
"Mycoplasma canis","Mycoplasmopsis canis"
"Mycoplasma columborale","Mycoplasmopsis columboralis"
"Mycoplasma pulmonis","Mycoplasmopsis pulmonis"
"Mycoplasma bovigenitalium","Mycoplasmopsis bovigenitalium"
"Mycoplasma genitalium","Mycoplasmoides genitalium"
"Mycoplasma arginini","Mycoplasmopsis arginini"
"Mycoplasma iowae","Malacoplasma iowae"
"Mycoplasma cloacale","Metamycoplasma cloacale"
"Mycoplasma glycophilum","Mycoplasmopsis glycophila"
"Mycoplasma felis","Mycoplasmopsis felis"
"Mycoplasma cynos","Mycoplasmopsis cynos"
"Mycoplasma conjunctivae","Mesomycoplasma conjunctivae"
"Mycoplasma hominis","Metamycoplasma hominis"
"Mycoplasma orale","Metamycoplasma orale"
"Mycoplasma meleagridis","Mycoplasmopsis meleagridis"
"Mycoplasma synoviae","Mycoplasmopsis synoviae"
"Mycoplasma columbinum","Mycoplasmopsis columbina"
"Mycoplasma hyorhinis","Mesomycoplasma hyorhinis"
"Mycoplasma alkalescens","Metamycoplasma alkalescens"
"Entomoplasma melaleucae","Mesoplasma melaleucae"
"Entomoplasma somnilux","Williamsoniiplasma somnilux"
"Entomoplasma luminosum","Williamsoniiplasma luminosum"
"Acholeplasma axanthum","Haploplasma axanthum"
"Meiothermus silvanus","Allomeiothermus silvanus"
"Candidatus Hamiltonella defensa","Candidatus Williamhamiltonella defendens"
"Enterobacter lignolyticus","[Enterobacter] lignolyticus"
"Candidatus Ishikawaella capsulata","Candidatus Ishikawella capsulata"
"Dickeya paradisiaca","Musicola paradisiaca"
"Pseudomonas mendocina","Ectopseudomonas mendocina"
"Pseudomonas resinovorans","Metapseudomonas resinovorans"
"Pseudomonas alcaligenes","Aquipseudomonas alcaligenes"
"Pseudomonas stutzeri","Stutzerimonas stutzeri"
"Pseudomonas xanthomarina","Stutzerimonas xanthomarina"
"Pseudomonas balearica","Stutzerimonas balearica"
"Psychrobacter sp. FME2","Pseudomonas lundensis"
"Pseudomonas pelagia","Halopseudomonas pelagia"
"Pseudomonas psychrotolerans","Pseudomonas oryzihabitans"
"Moraxella osloensis","Faucicola osloensis"
"Marinobacter hydrocarbonoclasticus","Marinobacter nauticus"
"Glaciecola nitratireducens","Brumicola nitratireducens"
"Halomonas hydrothermalis","Vreelandella venusta"
"Alcanivorax dieselolei","Alloalcanivorax dieselolei"
"Alcanivorax pacificus","Isoalcanivorax pacificus"
"Pasteurella skyensis","Phocoenobacter skyensis"
"Candidatus Thioglobus singularis","Candidatus Pseudothioglobus singularis"
"Candidatus Baumannia cicadellinicola","Candidatus Palibaumannia cicadellinicola"
"Paraburkholderia rhizoxinica","Mycetohabitans rhizoxinica"
"Acidovorax ebreus","[Acidovorax] ebreus"
"Acidovorax avenae","Paracidovorax avenae"
"Diaphorobacter polyhydroxybutyrativorans","Diaphorobacter nitroreducens"
"Azoarcus communis","Parazoarcus communis"
"Thauera sp. MZ1T","Thauera aminoaromatica"
"Dechloromonas aromatica","Dechloromonas aromatica (nom. nud.)"
"Candidatus Kinetoplastibacterium desouzaii","Candidatus Kinetoplastidibacterium desouzai"
"Desulfovibrio vulgaris","Nitratidesulfovibrio vulgaris"
"Desulfovibrio salexigens","Maridesulfovibrio salexigens"
"Desulfovibrio alaskensis","Oleidesulfovibrio alaskensis"
"Desulfovibrio gigas","Megalodesulfovibrio gigas"
"Desulfovibrio hydrothermalis","Maridesulfovibrio hydrothermalis"
"Desulfovibrio sulfodismutans","Desulfolutivibrio sulfodismutans"
"Desulfovibrio carbinoliphilus","Solidesulfovibrio carbinoliphilus"
"Desulfovibrio magneticus","Solidesulfovibrio magneticus"
"Desulfococcus oleovorans","Desulfosudis oleivorans"
"Desulfobacterium autotrophicum","Desulforapulum autotrophicum"
"Geobacter uraniireducens","Geotalea uraniireducens"
"Geobacter bremensis","Citrifermentans bremense"
"Geobacter lovleyi","Trichlorobacter lovleyi"
"Geobacter daltonii","Geotalea daltonii"
"Geobacter bemidjiensis","Citrifermentans bemidjiense"
"Pelobacter carbinolicus","Syntrophotalea carbinolica"
"Campylobacter sp. NCTC 13003","Campylobacter lanienae"
"Arcobacter cryaerophilus","Aliarcobacter cryaerophilus"
"Arcobacter molluscorum","Malaciobacter molluscorum"
"Arcobacter butzleri","Aliarcobacter butzleri"
"Arcobacter cibarius","Aliarcobacter cibarius"
"Arcobacter mytili","Malaciobacter mytili"
"Arcobacter skirrowii","Aliarcobacter skirrowii"
"Arcobacter thereius","Aliarcobacter thereius"
"Arcobacter trophiarum","Aliarcobacter trophiarum"
"Agrobacterium rhizogenes","Rhizobium rhizogenes"
"Ensifer sojae","Sinorhizobium sojae"
"Ochrobactrum anthropi","Brucella anthropi"
"Starkeya novella","Ancylobacter novellus"
"Labrenzia alexandrii","Roseibium alexandrii"
"Rhodobacter sphaeroides","Cereibacter sphaeroides"
"Rhodobacter blasticus","Pseudogemmobacter blasticus"
"Epibacterium mobile","Tritonibacter mobilis"
"Parasedimentitalea marina","Parasedimentitalea marina   <species> "
"Sphingomonas wittichii","Rhizorhabdus wittichii"
"Novosphingobium tardaugens","Caenibius tardaugens"
"Magnetospirillum magneticum","Paramagnetospirillum magneticum"
"Komagataeibacter hansenii","Novacetimonas hansenii"
"Bdellovibrio exovorus","Pseudobdellovibrio exovorus"
"Methylacidiphilum infernorum","Candidatus Methylacidiphilum infernorum"
"Candidatus Kuenenia stuttgartiensis","Candidatus Kuenenia stuttgartensis"
"Sneathia amnii","Sneathia vaginalis"
"Treponema sp. OMZ 804","Treponema vincentii"
"Treponema caldarium","Gracilinema caldarium"
"Treponema azotonutricium","Leadbettera azotonutricia"
"Spirochaeta thermophila","Winmispira thermophila"
"Sphaerochaeta coccoides","Parasphaerochaeta coccoides"
"Candidatus Koribacter versatilis","Candidatus Korobacter versatilis"
"Methanosaeta harundinacea","Methanothrix harundinacea"
"Candidatus Methanomethylophilus alvus","Methanomethylophilus alvi"
"Sulfolobus islandicus","Saccharolobus islandicus"
"Lactobacillus zymae","Levilactobacillus zymae"
"Streptomyces fulvissimus","Streptomyces microflavus"
"Arthrospira platensis","Limnospira platensis"
"Mycoplasma bovoculi","Mesomycoplasma bovoculi"
"Mycoplasma hyopneumoniae","Mesomycoplasma hyopneumoniae"
"Mycoplasma gallisepticum","Mycoplasmoides gallisepticum"
"Mycoplasma ovipneumoniae","Mesomycoplasma ovipneumoniae"
"Candidatus Blochmannia vafer","Candidatus Blochmanniella vafra"
"Halomonas titanicae","Vreelandella titanicae"
"Methylomicrobium buryatense","Methylotuvimicrobium buryatense"
"Oligotropha carboxidovorans","Afipia carboxidovorans"
"Roseibacterium elongatum","Roseicyclus elongatus"
"Neorickettsia sennetsu","Ehrlichia sennetsu"
"Planctomycetes bacterium Mal35","Gimesia maris"
"Aciduliprofundum boonei","Candidatus Aciduliprofundum boonei"
"Edwardsiella virus pEt-SU","Petsuvirus pEtSU"
"Salmonella virus STP4a","Gelderlandvirus stp4a"
"Faecalibacterium virus Epona","Eponavirus epona"
"Synechococcus virus Bellamy","Bellamyvirus bellamy"
"Pseudomonas virus SM1","Samunavirus SM1"
"Staphylococcus virus MCE2014","Kayvirus MCE2014"
"Bacillus virus CP51","Siminovitchvirus CP51"
"Horsefly horwuvirus","Horwuvirus wuhanense"
"Candidatus Atelocyanobacterium thalassa","Candidatus Atelocyanobacterium thalassae"
"Bovine alphaherpesvirus 1","bovine alphaherpesvirus 1"
"Streptomyces cattleya","Streptantibioticus cattleyicolor"
"Acidovorax citrulli","Paracidovorax citrulli"
"Dechlorosoma suillum","Azospira oryzae"
"Halobiforma lacisalsi","Natronobacterium lacisalsi"
"Ranunculus white mottle ophiovirus","Ophiovirus ranunculi"
