Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,species_100_abundance_10000000_dominance_1_A10000000_R75,species_100_abundance_10000000_dominance_1_A10000000_R150,species_100_abundance_10000000_dominance_1_A10000000_R300,species_100_abundance_10000000_dominance_1_A10000000_R1000
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium epidermidicanis,Corynebacterium epidermidicanis,541,138,107,30,4
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,Ralstonia mannitolilytica,Ralstonia mannitolilytica,1730,846,1686,478,342
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Levilactobacillus,Levilactobacillus yonginensis,Levilactobacillus yonginensis,1101,41,34,1,40
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus pseudopneumoniae,Streptococcus pseudopneumoniae,2019,12335,10086,8591,6438
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Morococcus,Morococcus cerebrosus,Morococcus cerebrosus,1280,604,569,406,312
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Noviherbaspirillum,Noviherbaspirillum soli,Noviherbaspirillum soli,1352,3,1,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter bereziniae,Acinetobacter bereziniae,32,3,5,1,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter guillouiae,Acinetobacter guillouiae,42,6,7,7,2
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Vogesella,Vogesella fluminis,Vogesella fluminis,2196,38,6,3,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus ruminis,Ligilactobacillus ruminis,1109,1,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Caballeronia,Caballeronia grimmiae,Caballeronia grimmiae,404,3,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus mesophilum,Bacillus mesophilum,224,2,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Pseudoalteromonadaceae,Pseudoalteromonas,Pseudoalteromonas ulvae,Pseudoalteromonas ulvae,1615,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter condimenti,Cronobacter condimenti,612,786,641,561,362
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter universalis,Cronobacter universalis,618,10150,5672,3092,1534
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium animalis,Bifidobacterium animalis,263,125552,126001,125666,125282
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea wallisii,Pantoea wallisii,1434,2,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Fontimonas,Fontimonas thermophila,Fontimonas thermophila,807,0,1,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Agitococcus,Agitococcus lubricus,Agitococcus lubricus,96,0,11,0,4
Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus sputorum,Haemophilus sputorum,869,583,544,5160,250
Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Arcanobacterium,Arcanobacterium pluranimalium,Arcanobacterium pluranimalium,165,10,5,4,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia hiiakae,Paraburkholderia hiiakae,1465,0,2,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Lonsdalea,Lonsdalea iberica,Lonsdalea iberica,1167,92,86,85,54
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Lonsdalea,Lonsdalea britannica,Lonsdalea britannica,1166,0,1,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas serinivorans,Comamonas serinivorans,497,4,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium falsenii,Corynebacterium falsenii,542,1,0,0,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium norvegicum,Mesorhizobium norvegicum,1237,4,1,1,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter schindleri,Acinetobacter schindleri,57,0,0,0,2
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia trevisanii,Leptotrichia trevisanii,1074,114,73,57,36
Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Bisgaardia,Bisgaardia hudsonensis,Bisgaardia hudsonensis,332,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methylobacter,Methylobacter luteus,Methylobacter luteus,1248,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella bettyae,Pasteurella bettyae,1500,22,11,6,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Erwiniaceae,Pantoea,Pantoea ananatis,Pantoea ananatis,1418,17,11,6,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Novosphingobium,Novosphingobium lindaniclasticum,Novosphingobium lindaniclasticum,1353,0,0,10,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Mesorhizobium,Mesorhizobium alhagi,Mesorhizobium alhagi,1234,1,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Chromobacterium,Chromobacterium vaccinii,Chromobacterium vaccinii,450,2,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Pectobacteriaceae,Brenneria,Brenneria goodwinii,Brenneria goodwinii,354,2,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gulae,Porphyromonas gulae,1594,21,8,10,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia alkalitolerans,Massilia alkalitolerans,1209,1,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus troglodytae,Streptococcus troglodytae,2038,42,21,3,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium baderi,Sphingobium baderi,1882,0,91,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylococcaceae,Methyloglobulus,Methyloglobulus morosus,Methyloglobulus morosus,1255,0,0,4,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Neobacillus,Neobacillus bataviensis,Neobacillus bataviensis,1320,172,122,139,50
Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus grossensis,Peptoniphilus grossensis,1532,93,65,40,2
Bacteria,Bacillota,Tissierellia,NA,NA,Kallipyga,Kallipyga massiliensis,Kallipyga massiliensis,926,1,0,0,0
Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus obesi,Peptoniphilus obesi,1539,5,6,4,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Mannheimia,Mannheimia pernigra,Mannheimia pernigra,1199,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Moraxellales,Moraxellaceae,Acinetobacter,Acinetobacter gerneri,Acinetobacter gerneri,40,2,6,1,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Allofustis,Allofustis seminis,Allofustis seminis,111,3,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chitinibacteraceae,Andreprevotia,Andreprevotia chitinilytica,Andreprevotia chitinilytica,140,1,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Atopostipes,Atopostipes suicloacalis,Atopostipes suicloacalis,185,0,0,2,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Sphaerotilaceae,Azohydromonas,Azohydromonas australica,Azohydromonas australica,192,1,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Ectobacillus,Ectobacillus panaciterrae,Ectobacillus panaciterrae,699,2,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium minimum,Bifidobacterium minimum,299,3,3,5,4
Bacteria,Pseudomonadota,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,Brevundimonas naejangsanensis,Brevundimonas naejangsanensis,361,2,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Paraburkholderia,Paraburkholderia nodosa,Paraburkholderia nodosa,1473,3,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chitinibacteraceae,Chitinimonas,Chitinimonas koreensis,Chitinimonas koreensis,444,6,4,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chitinibacteraceae,Chitiniphilus,Chitiniphilus shinanonensis,Chitiniphilus shinanonensis,446,1,0,0,0
Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Hathewaya,Hathewaya proteolytica,Hathewaya proteolytica,880,2,5,4,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas badia,Comamonas badia,487,5,1,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,Comamonas composti,Comamonas composti,488,14,5,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Neisseriaceae,Conchiformibius,Conchiformibius kuhniae,Conchiformibius kuhniae,512,0,4,0,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium callunae,Corynebacterium callunae,532,3,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium capitovis,Corynebacterium capitovis,534,1,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium halotolerans,Corynebacterium halotolerans,552,3,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium massiliense,Corynebacterium massiliense,567,0,0,1,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pseudodiphtheriticum,Corynebacterium pseudodiphtheriticum,577,26,23,7,2
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium suicordis,Corynebacterium suicordis,593,3,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium ulceribovis,Corynebacterium ulceribovis,600,6,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Gryllotalpicola,Gryllotalpicola ginsengisoli,Gryllotalpicola ginsengisoli,857,2,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Derxia,Derxia gummosa,Derxia gummosa,665,1,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Pseudoduganella,Pseudoduganella violaceinigra,Pseudoduganella violaceinigra,1628,1,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus columbae,Enterococcus columbae,742,3,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Gemellaceae,Gemella,Gemella cuniculi,Gemella cuniculi,835,7,2,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Globicatella,Globicatella sulfidifaciens,Globicatella sulfidifaciens,848,2,2,0,0
Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Helcococcus,Helcococcus sueciensis,Helcococcus sueciensis,883,0,0,0,4
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus nagelii,Liquorilactobacillus nagelii,1139,1,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus chungangensis,Lactococcus chungangensis,1032,22,24,6,4
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Aquaspirillaceae,Laribacter,Laribacter hongkongensis,Laribacter hongkongensis,1053,1,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia niastensis,Massilia niastensis,1217,2,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Oceanospirillaceae,Oceanospirillum,Oceanospirillum beijerinckii,Oceanospirillum beijerinckii,1359,2,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Ottowia,Ottowia thiooxydans,Ottowia thiooxydans,1378,1,0,2,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella langaaensis,Pasteurella langaaensis,1503,2,0,0,0
Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas uenonis,Porphyromonas uenonis,1595,0,0,4,0
Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium thoenii,Acidipropionibacterium thoenii,20,1,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Neisseriales,Chromobacteriaceae,Pseudogulbenkiania,Pseudogulbenkiania subflava,Pseudogulbenkiania subflava,1631,4,1,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas balearica,Stutzerimonas balearica,2073,0,3,0,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Pseudoxanthobacteraceae,Pseudoxanthobacter,Pseudoxanthobacter soli,Pseudoxanthobacter soli,1710,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Pseudoxanthomonas,Pseudoxanthomonas kalamensis,Pseudoxanthomonas kalamensis,1712,0,6,3,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Simplicispira,Simplicispira psychrophila,Simplicispira psychrophila,1865,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Nevskiales,Nevskiaceae,Solimonas,Solimonas flava,Solimonas flava,1875,1,0,0,0
Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Solobacterium,Solobacterium moorei,Solobacterium moorei,1876,8,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus caballi,Streptococcus caballi,1955,15,26,34,8
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus castoreus,Streptococcus castoreus,1957,380,280,224,134
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus didelphis,Streptococcus didelphis,1964,39,20,19,10
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus entericus,Streptococcus entericus,1968,6,9,15,10
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus hyovaginalis,Streptococcus hyovaginalis,1981,18,10,7,2
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus minor,Streptococcus minor,1996,2,2,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus orisratti,Streptococcus orisratti,2002,244,225,165,108
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus ovis,Streptococcus ovis,2003,1,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus plurextorum,Streptococcus plurextorum,2015,36,38,21,42
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus porci,Streptococcus porci,2017,70,60,41,10
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus thoraltensis,Streptococcus thoraltensis,2035,5,10,11,6
Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Varibaculum,Varibaculum cambriense,Varibaculum cambriense,2163,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Vibrio,Vibrio porteresiae,Vibrio porteresiae,2186,5,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Xenophilus,Xenophilus azovorans,Xenophilus azovorans,2217,24,1,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella pneumoniae,Klebsiella pneumoniae,946,689,504,522,366
Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema medium,Treponema medium,2129,2,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium pyruviciproducens,Corynebacterium pyruviciproducens,582,65,87,174,110
Bacteria,Bacillota,Bacilli,Bacillales,Thermoactinomycetaceae,Polycladomyces,Polycladomyces abyssicola,Polycladomyces abyssicola,1588,2,0,0,0
Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Bradyrhizobium,Bradyrhizobium liaoningense,Bradyrhizobium liaoningense,348,1,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alishewanella,Alishewanella jeotgali,Alishewanella jeotgali,105,9,2,6,2
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus australis,Streptococcus australis,1952,522,397,309,148
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Undibacterium,Undibacterium squillarum,Undibacterium squillarum,2148,2,0,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Schinkia,Schinkia azotoformans,Schinkia azotoformans,1815,1491,1349,1257,1136
Bacteria,Pseudomonadota,Gammaproteobacteria,NA,Candidatus Competibacteraceae,Plasticicumulans,Plasticicumulans lactativorans,Plasticicumulans lactativorans,1582,3,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Liquorilactobacillus,Liquorilactobacillus vini,Liquorilactobacillus vini,1143,0,4,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Rhodocyclales,Zoogloeaceae,Thauera,Thauera humireducens,Thauera humireducens,2106,1,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Cutibacterium,Cutibacterium acnes,Cutibacterium acnes,645,101833,104129,105701,105116
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Klebsiella,Klebsiella michiganensis,Klebsiella michiganensis,943,631,593,571,378
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Gordoniaceae,Gordonia,Gordonia phthalatica,Gordonia phthalatica,851,0,1,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lentilactobacillus,Lentilactobacillus curieae,Lentilactobacillus curieae,1064,4,1,0,0
Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus intermedius,Staphylococcus intermedius,1923,3,0,2,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Oxalobacteraceae,Massilia,Massilia putida,Massilia putida,1220,1,0,0,0
Bacteria,Actinomycetota,Actinomycetes,Kitasatosporales,Streptomycetaceae,Streptomyces,Streptomyces javensis,Streptomyces javensis,2058,1,1,2,0
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium asteroides,Bifidobacterium asteroides,266,5,6,6,8
Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus bingmayongensis,Bacillus bingmayongensis,205,222,94,122,0
Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Fusicatenibacter,Fusicatenibacter saccharivorans,Fusicatenibacter saccharivorans,815,0,1,0,0
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium scardovii,Bifidobacterium scardovii,320,88,41,47,28
Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Scardovia,Scardovia inopinata,Scardovia inopinata,1812,2,0,0,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus taiwanensis,Lactococcus taiwanensis,1045,118,77,28,18
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Yersiniaceae,Serratia,Serratia inhibens,Serratia inhibens,1833,26,19,2,0
Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus ilei,Streptococcus ilei,1983,80,66,31,12
Bacteria,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Tumebacillus,Tumebacillus flagellatus,Tumebacillus flagellatus,2144,2,7,17,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Kosakonia,Kosakonia sacchari,Kosakonia sacchari,968,25,5,4,2
Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus pallens,Enterococcus pallens,746,2,0,0,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Idiomarinaceae,Pseudidiomarina,Pseudidiomarina indica,Pseudidiomarina indica,1614,1,0,0,0
Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptostreptococcus,Peptostreptococcus canis,Peptostreptococcus canis,1543,39,37,41,14
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter malonaticus,Cronobacter malonaticus,614,28523,19797,13424,9010
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter dublinensis,Cronobacter dublinensis,613,955,553,449,340
Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Cronobacter,Cronobacter muytjensii,Cronobacter muytjensii,615,1665,1240,1345,1242
Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus lemanii,Enterococcus lemanii,745,0,3,2,0
Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium appendicis,Corynebacterium appendicis,524,22,3,3,0
Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Pseudostreptobacillus,Pseudostreptobacillus hongkongensis,Pseudostreptobacillus hongkongensis,1709,27,6,5,0
Bacteria,Pseudomonadota,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Rhodanobacter,Rhodanobacter fulvus,Rhodanobacter fulvus,1753,3,0,0,0
Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Melaminivora,Melaminivora alkalimesophila,Melaminivora alkalimesophila,1229,1,0,0,0
