"old_name","current_name"
"Diaphorobacter polyhydroxybutyrativorans","Diaphorobacter nitroreducens"
"Dechloromonas aromatica","Dechloromonas aromatica (nom. nud.)"
"Azoarcus communis","Parazoarcus communis"
"Desulfobacterium autotrophicum","Desulforapulum autotrophicum"
"Desulfococcus oleovorans","Desulfosudis oleivorans"
"Desulfovibrio alaskensis","Oleidesulfovibrio alaskensis"
"Desulfovibrio hydrothermalis","Maridesulfovibrio hydrothermalis"
"Desulfovibrio salexigens","Maridesulfovibrio salexigens"
"Desulfovibrio vulgaris","Nitratidesulfovibrio vulgaris"
"Geobacter bemidjiensis","Citrifermentans bemidjiense"
"Geobacter bremensis","Citrifermentans bremense"
"Geobacter daltonii","Geotalea daltonii"
"Geobacter lovleyi","Trichlorobacter lovleyi"
"Geobacter uraniireducens","Geotalea uraniireducens"
"Arcobacter butzleri","Aliarcobacter butzleri"
"Arcobacter cryaerophilus","Aliarcobacter cryaerophilus"
"Arcobacter thereius","Aliarcobacter thereius"
"Campylobacter sp. NCTC 13003","Campylobacter lanienae"
"Glaciecola nitratireducens","Brumicola nitratireducens"
"Marinobacter hydrocarbonoclasticus","Marinobacter nauticus"
"Candidatus Blochmannia vafer","Candidatus Blochmanniella vafra"
"Candidatus Hamiltonella defensa","Candidatus Williamhamiltonella defendens"
"Enterobacter lignolyticus","[Enterobacter] lignolyticus"
"Dickeya paradisiaca","Musicola paradisiaca"
"Alcanivorax dieselolei","Alloalcanivorax dieselolei"
"Halomonas titanicae","Vreelandella titanicae"
"Pseudomonas balearica","Stutzerimonas balearica"
"Pseudomonas mendocina","Ectopseudomonas mendocina"
"Pseudomonas stutzeri","Stutzerimonas stutzeri"
"Bdellovibrio exovorus","Pseudobdellovibrio exovorus"
"Sphaerochaeta coccoides","Parasphaerochaeta coccoides"
"Treponema azotonutricium","Leadbettera azotonutricia"
"Treponema caldarium","Gracilinema caldarium"
"Acholeplasma axanthum","Haploplasma axanthum"
"Entomoplasma somnilux","Williamsoniiplasma somnilux"
"Mycoplasma agalactiae","Mycoplasmopsis agalactiae"
"Mycoplasma anseris","[Mycoplasma] anseris"
"Mycoplasma arginini","Mycoplasmopsis arginini"
"Mycoplasma bovigenitalium","Mycoplasmopsis bovigenitalium"
"Mycoplasma bovis","Mycoplasmopsis bovis"
"Mycoplasma bovoculi","Mesomycoplasma bovoculi"
"Mycoplasma canis","Mycoplasmopsis canis"
"Mycoplasma glycophilum","Mycoplasmopsis glycophila"
"Mycoplasma hominis","Metamycoplasma hominis"
"Mycoplasma ovipneumoniae","Mesomycoplasma ovipneumoniae"
"Bovine alphaherpesvirus 1","bovine alphaherpesvirus 1"
