species,abundance_cols.healthy_stool_10_1_noerr,abundance_cols.healthy_stool_10_10_noerr,abundance_cols.healthy_stool_10_100_noerr,abundance_cols.healthy_stool_10_50_noerr,abundance_cols.healthy_stool_100_1_noerr,abundance_cols.healthy_stool_100_10_noerr,abundance_cols.healthy_stool_100_100_noerr,abundance_cols.healthy_stool_100_50_noerr
Anaerotruncus colihominis,0,0,0,1,5,5,16,8
Anaerotruncus rubiinfantis,0,0,2,4,0,0,0,0
Andreesenia angusta,0,0,0,0,11,19,0,20
Angelakisella massiliensis,20,0,12,31,0,1,3,0
Aspergillus clavatus,0,0,0,0,3,0,0,0
Atopococcus tabaci,0,0,0,0,0,0,4,1
Bacillus coahuilensis,0,0,0,0,0,1,0,0
Bacillus thermotolerans,0,0,0,1,0,0,0,0
Bacteroides caccae,0,0,0,0,628,1582,1151,979
Bacteroides cellulosilyticus,6,14,19,11,540,1302,2058,898
Bacteroides faecichinchillae,4,6,14,1,9,19,13,9
Bacteroides fluxus,14,143,39,88,8,17,23,21
Bacteroides fragilis,24,46,87,4,448,1159,1362,707
Bacteroides ihuae,0,0,0,0,0,0,0,1
Bacteroides nordii,1,0,3,1,21,36,45,36
Bacteroides ovatus,4,1,4,0,1183,3170,2473,1960
Bacteroides reticulotermitis,0,0,0,0,6,14,11,6
Bacteroides salyersiae,1,6,10,3,116,262,1367,368
Bacteroides stercoris,0,0,1,29,948,2681,1291,1696
Bacteroides thetaiotaomicron,30,44,75,26,839,2031,2357,1354
Bacteroides uniformis,8582,12913,13256,16545,3766,3535,1348,6039
Bariatricus massiliensis,1,1,0,0,0,1,4,1
Barnesiella intestinihominis,0,0,0,0,518,1322,1012,848
Barnesiella viscericola,0,0,0,0,0,0,3,3
Bifidobacterium adolescentis,2825,4251,6042,2551,1219,1147,697,1984
Bifidobacterium angulatum,0,0,1,0,52,140,573,200
Bifidobacterium biavatii,0,0,0,0,0,4,2,0
Bifidobacterium bifidum,0,0,0,0,154,406,570,253
Bifidobacterium breve,0,0,0,0,11,36,22,15
Bifidobacterium cuniculi,0,0,0,0,0,0,2,0
Bifidobacterium dentium,0,0,0,0,1,3,13,8
Bifidobacterium longum,0,0,0,0,646,1587,532,1013
Bifidobacterium pseudolongum,0,0,0,0,1,3,9,1
Bifidobacterium pullorum,0,0,0,0,0,0,1,1
Bifidobacterium reuteri,0,0,0,0,3,6,10,8
Bifidobacterium saguini,0,0,0,0,1,3,1,4
Bifidobacterium scardovii,0,0,0,0,0,2,1,0
Bifidobacterium subtile,0,0,0,0,0,0,1,0
Bilophila wadsworthia,0,0,0,0,0,0,2,1
Bittarella massiliensis (ex Durand et al. 2017),0,1,0,0,0,0,0,0
Blautia hansenii,0,0,0,0,14,34,58,43
Blautia hydrogenotrophica,4,7,8,6,4,5,1,2
Blautia obeum,17,31,17,38,783,2048,1971,1323
Blautia producta,0,0,0,0,2,5,7,4
Brachyspira pilosicoli,0,0,0,0,0,1,0,0
Brussowvirus bvO1205,0,0,0,0,0,0,0,1
Butyricicoccus pullicaecorum,0,1,0,0,2,3,1,0
Butyricimonas synergistica,0,1,1,0,1,0,1,1
Carnobacterium maltaromaticum,0,0,0,0,0,0,4,0
Cedecea neteri,0,0,0,0,0,1,0,0
Cellulomonas carbonis,0,0,1,0,2,0,1,0
Christensenella minuta,0,0,0,0,1,3,14,4
Clostridioides difficile,0,0,0,0,3,3,6,4
[Clostridium] aminophilum,0,0,0,0,0,0,0,1
Clostridium lundense,0,0,1,0,0,1,0,1
Clostridium paraputrificum,0,0,0,0,0,1,0,0
Clostridium phoceensis,10,5,5,3,4,6,3,12
[Clostridium] scindens,0,0,0,0,1,0,0,1
[Clostridium] symbiosum,0,0,0,0,2,1,1,1
Collinsella aerofaciens,3033,4558,7088,2737,1301,1187,703,2096
Collinsella bouchesdurhonensis,0,0,0,0,0,0,10,2
Collinsella ihumii,0,1,0,0,0,1,0,0
Comamonas kerstersii,0,0,0,0,1,0,1,0
Comamonas testosteroni,0,0,0,0,0,0,1,0
Coprobacter fastidiosus,0,0,1,0,0,2,3,1
Coprococcus eutactus,5,7,17,4,513,1326,850,888
Corynebacterium lipophiloflavum,0,0,0,0,0,0,0,1
Cronobacter sakazakii,0,0,0,0,0,1,0,5
Cuauhtlivirus mEpX1,0,0,0,0,1,2,0,0
Culturomica massiliensis,0,0,0,0,2,11,6,1
Cupriavidus basilensis,0,0,0,0,2,7,41,12
Cupriavidus metallidurans,0,0,0,0,88,274,1251,376
Cupriavidus pauculus,0,0,0,0,0,0,1,1
Dechloromonas agitata,0,0,0,0,0,0,1,0
Desulfitobacterium dichloroeliminans,0,0,0,0,0,0,6,1
Desulfovibrio piger,0,0,0,0,23,60,259,80
Dialister invisus,0,0,0,0,46,119,536,172
Dialister succinatiphilus,0,0,0,0,1,5,5,2
Diegovirus dv7502Stx,0,0,0,0,0,2,0,0
Donghicola eburneus,0,0,0,0,0,1,0,3
Dorea formicigenerans,0,0,0,0,286,847,1066,460
Dorea longicatena,0,0,0,0,727,1976,785,1276
Edwardsiella anguillarum,0,0,0,0,1,1,0,1
Eggerthella lenta,0,0,0,0,49,127,790,164
Eisenbergiella tayi,0,0,0,0,0,0,2,0
Emergencia timonensis,0,0,0,0,2,16,7,17
Enterobacter hormaechei,0,0,0,0,0,0,17,5
Enterobacter kobei,0,0,0,0,0,0,1,0
[Enterobacter] lignolyticus,0,0,0,0,1,6,9,5
Enterobacteria phage cdtI,0,0,0,0,5,5,0,4
Enterobacteria phage mEp460,0,0,0,0,0,2,4,0
Enterocloster asparagiformis,0,0,0,0,0,2,2,1
Enterocloster bolteae,0,0,0,0,2,5,4,3
Enterococcus casseliflavus,0,0,0,0,0,0,5,2
Enterococcus cecorum,0,0,0,0,0,0,1,0
Enterococcus faecalis,0,0,0,0,0,0,8,0
Enterococcus faecium,0,0,0,0,40,101,679,144
Enterococcus gilvus,0,0,0,0,2,4,4,5
Enterococcus hirae,0,0,0,0,0,0,4,0
Enterococcus italicus,0,0,0,0,0,0,0,1
Enterococcus malodoratus,0,0,0,0,1,0,2,0
Entomohabitans teleogrylli,0,0,0,0,0,0,3,0
Erwinia oleae,0,0,0,0,0,0,1,1
Erwinia tracheiphila,0,0,0,0,0,1,3,4
Eshraghiella crossota,3,30,22,0,336,875,706,594
Eubacterium coprostanoligenes,2,0,1,0,0,1,0,0
Eubacterium ramulus,0,0,0,0,86,216,805,293
Eubacterium ventriosum,0,0,0,3,61,140,600,204
Faecalibacterium duncaniae,616,925,711,1212,247,208,68,357
Faecalicatena contorta,24,10,18,34,8,16,7,21
Faecalicoccus pleomorphus,3,0,0,1,0,0,0,0
Falseniella ignava,0,0,0,0,0,1,0,0
Finegoldia magna,0,0,0,0,9,20,80,33
Flavonifractor plautii,0,0,0,0,102,248,818,345
Fusicatenibacter saccharivorans,13,3,5,47,1118,2848,749,1824
Gemmiger formicilis,74,112,80,145,180,398,949,558
Gordonibacter pamelaeae,0,0,0,0,38,105,794,156
Haemophilus sputorum,0,0,0,0,0,6,3,0
Hallella bergensis,0,0,0,0,0,4,9,7
Hespellia stercorisuis,0,0,0,0,0,3,4,0
Heyndrickxia acidiproducens,0,0,0,0,0,0,1,0
Holdemanella biformis,0,0,0,0,85,205,471,302
Holdemania massiliensis,2,7,5,2,2,11,0,8
Hoylesella buccalis,0,0,0,0,29,98,404,149
Hoylesella marshii,0,0,0,0,0,1,1,0
Hoylesella nanceiensis,0,0,0,0,5,7,2,3
Hoylesella oralis,0,0,0,0,0,0,1,0
Hoylesella timonensis,0,0,0,0,57,154,942,180
Hungatella hathewayi,1,1,0,0,1,15,22,21
Intestinibacter bartlettii,0,0,0,0,66,168,844,241
Intestinimonas butyriciproducens,0,1,3,3,0,6,0,0
Johnsonella ignava,0,0,0,0,1,0,0,0
Kaistia adipata,0,0,0,0,0,1,0,3
Kandleria vitulina,0,0,0,0,1,0,9,3
Kluyvera ascorbata,0,0,0,0,1,0,2,1
Kluyvera cryocrescens,0,0,0,0,1,3,18,8
Kosakonia cowanii,0,0,0,0,5,0,2,3
Kosakonia sacchari,0,0,0,0,0,0,1,0
Kwaitsingvirus HK544,0,0,0,0,0,0,0,1
Lachnoanaerobaculum saburreum,0,0,0,0,0,0,2,1
Lachnobacterium bovis,0,0,0,0,0,0,1,0
Lachnoclostridium phocaeense,0,13,0,1,5,21,4,3
Lachnospira eligens,0,0,0,0,565,1445,779,915
Lachnospira multipara,0,0,0,0,222,595,444,352
Lactonifactor longoviformis,2,0,0,0,0,1,0,0
Lambdavirus lambda,0,0,0,0,0,0,6,0
Lederbergvirus HK620,0,0,0,0,0,0,1,0
Lederbergvirus Sf6,0,0,0,0,0,0,1,0
Leyella stercorea,100,33,304,17,306,745,884,499
Ligilactobacillus ruminis,0,0,0,0,51,134,585,193
Limosilactobacillus vaginalis,0,0,0,0,0,1,0,0
Liquorilactobacillus oeni,0,0,0,0,0,1,0,0
Liquorilactobacillus uvarum,0,0,0,0,0,1,0,0
Marienburgvirus BP4795,0,0,0,0,2,16,5,0
Marinilactibacillus piezotolerans,0,2,0,0,0,0,0,1
Marvinbryantia formatexigens,0,0,0,0,0,3,3,3
Mediterranea massiliensis,0,0,1,0,6,8,12,3
Mediterraneibacter gnavus,0,0,0,0,133,329,602,427
Megasphaera elsdenii,0,0,0,0,32,76,548,91
Merdibacter massiliensis,0,0,0,0,0,22,1,1
Merdimmobilis hominis,0,0,0,0,0,0,0,1
Merdimonas faecis,0,0,0,0,0,2,3,1
Microbacterium mangrovi,0,0,0,0,0,0,0,1
Muribaculum intestinale,0,0,0,0,0,3,2,0
Negativibacillus massiliensis,0,2,0,0,3,2,0,0
Neofamilia massiliensis,0,0,0,0,0,0,0,1
Nitrolancea hollandica,0,0,0,0,0,0,0,1
Obesumbacterium proteus,0,0,0,0,0,0,0,3
Oceanivirga salmonicida,0,0,0,0,0,0,2,0
Odoribacter laneus,0,0,0,0,2,3,1,2
Odoribacter splanchnicus,0,0,1,0,320,828,1249,509
Olegusella massiliensis,0,0,0,0,0,0,1,0
Oslovirus ov191,0,0,0,0,0,0,0,1
Oslovirus PA2,0,0,0,0,1,0,0,1
Oslovirus TL2011,0,0,0,0,0,1,0,0
Pankowvirus pv1717,0,0,0,0,1,6,4,5
Pankowvirus YYZ2008,0,0,0,0,29,74,20,44
Pantoea alhagi,0,0,0,0,0,1,0,0
Parabacteroides distasonis,0,0,1,0,662,1680,1006,1018
Parabacteroides goldsteinii,0,0,0,0,4,13,8,3
Parabacteroides johnsonii,24,36,74,11,112,228,163,184
Paracoccus alcaliphilus,0,0,0,0,0,1,4,3
Parafannyhessea umbonata,0,0,0,0,0,1,0,2
Paraprevotella xylaniphila,0,0,1,0,73,169,902,257
Parasutterella excrementihominis,0,0,0,0,71,194,797,285
Parolsenella massiliensis,0,0,0,0,1,0,0,0
Peptoniphilus faecalis,0,0,0,0,0,1,0,0
Peptoniphilus grossensis,0,0,0,0,0,0,3,0
Peptoniphilus lacrimalis,0,0,0,0,0,2,4,0
Peptoniphilus rhinitidis,0,0,0,0,0,2,3,0
Peptostreptococcus anaerobius,0,0,0,0,0,0,2,1
Petrimonas mucosa,0,0,0,0,0,0,1,0
Phascolarctobacterium succinatutens,0,0,0,0,169,450,542,297
Phocaeicola barnesiae,11,6,6,14,3,2,4,4
Phocaeicola coprocola,0,0,0,0,116,298,1095,414
Phocaeicola coprophilus,1,5,0,1,4,3,9,8
Phocaeicola paurosaccharolyticus,0,0,0,0,0,2,2,0
Phocaeicola plebeius,0,0,2,0,920,2442,1218,1456
Phocaeicola salanitronis,0,0,1,0,0,1,5,0
Phocaeicola vulgatus,13788,20714,23111,24039,5938,5612,2385,9690
Phoenicibacter congonensis,0,0,0,0,1,1,1,1
Pluralibacter gergoviae,0,0,0,0,0,3,0,0
Porphyromonas cangingivalis,0,0,0,0,0,1,2,0
Porphyromonas circumdentaria,0,0,0,0,0,1,0,0
Porphyromonas endodontalis,0,0,0,0,2,0,0,0
Porphyromonas gingivalis,0,0,0,0,0,0,0,2
Porphyromonas gingivicanis,0,0,0,0,0,0,1,0
Porphyromonas levii,0,0,0,0,0,3,1,1
Prevotella bivia,0,0,0,0,138,354,703,502
Prevotella corporis,0,0,0,0,43,113,715,174
Prevotella dentalis,0,0,0,0,1,1,1,1
Prevotella dentasini,0,0,0,0,0,3,0,0
Prevotella disiens,0,0,0,0,31,89,925,135
Prevotella falsenii,0,0,0,0,0,0,1,0
Prevotella ihumii,0,0,0,0,1,5,18,11
Prevotella intermedia,0,0,0,0,0,0,1,0
Prevotella micans,0,0,0,0,0,1,0,0
Prevotella multiformis,0,0,0,0,0,3,23,13
Prevotella nigrescens,0,0,0,0,0,2,0,0
Prevotella pallens,0,0,0,0,1,0,0,0
Prevotella scopos,0,0,0,0,0,0,4,0
Prevotella veroralis,0,0,0,0,0,0,0,1
Prevotellamassilia timonensis,0,0,1,0,1,2,19,4
Provencibacterium massiliense,0,0,0,0,0,2,0,6
Pseudoflavonifractor capillosus,1,4,0,9,3,4,9,7
Pseudostreptobacillus hongkongensis,0,0,0,0,0,0,1,0
Punavirus RCS47,0,0,0,0,0,0,5,3
Punavirus SJ46,0,0,0,0,0,1,4,5
Ralstonia mannitolilytica,0,0,0,0,0,1,0,0
Rikenella microfusus,0,0,0,0,0,0,1,1
Roseburia faecis,1,1,1,4,1082,2629,711,1627
Roseburia hominis,11,25,46,13,206,562,940,841
Roseburia intestinalis,0,2,0,0,480,1325,1451,694
Roseburia inulinivorans,21,9,7,21,698,1545,1164,942
Ruminiclostridium josui,0,0,0,0,0,1,0,0
Ruminococcus bicirculans (ex Wegman et al. 2014),0,0,0,0,1,4,5,3
Ruminococcus callidus,0,0,0,0,0,1,0,1
[Ruminococcus] lactaris,0,0,0,0,189,494,766,317
Ruminococcus sp. YE282,6,4,8,6,2,1,0,1
[Ruminococcus] torques,0,0,0,0,490,1291,672,801
Ruthenibacterium lactatiformans,0,21,9,23,182,448,1207,678
Salmonella enterica,0,0,0,0,0,14,9,10
Sanguibacteroides justesenii,0,0,0,0,1,4,13,5
Schleiferilactobacillus perolens,0,0,0,0,0,1,0,0
Segatella albensis,0,0,0,0,0,0,1,0
Segatella baroniae,0,0,0,1,0,0,0,0
Segatella copri,50262,25217,10264,23665,49642,4793,1009,8451
Segatella salivae,0,0,0,0,0,0,1,0
Sellimonas intestinalis,0,0,0,0,0,0,1,0
Senegalimassilia anaerobia,0,0,0,0,0,1,1,0
Serratia rubidaea,0,0,0,0,0,0,1,0
Sharpea azabuensis,0,0,0,0,0,0,0,1
Shigella dysenteriae,0,0,0,0,838,2089,178,1290
Shigella flexneri,0,0,0,0,157,432,970,270
Slackia piriformis,0,0,0,0,0,1,0,1
Sodalis praecaptivus,0,0,0,0,0,0,1,0
Sporosarcina koreensis,0,0,0,0,1,1,2,2
Stomatobaculum longum,6,12,6,14,3,0,3,3
Streptobacillus notomytis,0,0,0,0,1,0,1,0
Streptococcus cristatus,0,0,0,0,0,0,0,1
Streptococcus parasanguinis,0,0,0,0,41,108,615,158
Streptococcus salivarius,0,0,0,0,73,226,334,285
Streptococcus suis,0,0,0,0,1,0,0,0
Streptococcus thermophilus,0,0,0,0,99,231,494,369
Subdoligranulum variabile,2,0,0,0,2,1,3,0
Thauera humireducens,0,0,0,0,1,1,0,3
Thomasclavelia saccharogumia,0,0,0,0,0,0,0,1
Thomasclavelia spiroformis,0,0,0,0,0,0,1,0
Trabulsiella odontotermitis,0,0,0,0,1,0,0,0
Traorella massiliensis,0,1,1,4,0,0,2,0
Traversvirus II,0,0,0,0,23,74,25,15
Traversvirus PA28,0,0,0,0,0,2,2,2
Treponema succinifaciens,1,0,0,0,0,0,0,0
Treponema vincentii,1,0,0,1,0,0,0,0
Urinicoccus massiliensis,0,0,0,0,1,0,0,1
Veillonella parvula,0,0,0,0,30,78,604,113
Weissella jogaejeotgali,0,0,0,0,0,1,0,0
Wickerhamomyces ciferrii,0,0,0,0,1,0,0,0
Xenophilus azovorans,0,0,0,0,0,0,1,0
Xenorhabdus cabanillasii,0,0,0,0,1,5,12,3
Xuanwuvirus P88,0,0,0,0,2,7,2,6
Yersinia enterocolitica,0,0,0,0,1,0,0,0
Yersinia pestis,0,0,0,0,0,2,6,6
Yokenella regensburgei,0,0,0,0,1,0,6,2
