#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum indicum	0	3	0	0	0	0	1
d__Bacteria|p__Lentisphaerae	0	1	0	2	3	1	3
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria	0	1	0	2	3	1	3
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	0	1	0	2	3	1	3
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|s__Victivallales bacterium CCUG 44730	0	1	0	2	3	1	3
d__Bacteria|p__Fibrobacteres	0	13	3	3	2	5	3
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria	0	13	3	3	2	5	3
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales	0	13	3	3	2	5	3
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae	0	13	3	3	2	5	3
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter	0	13	3	3	2	5	3
d__Bacteria|p__Fibrobacteres|c__Fibrobacteria|o__Fibrobacterales|f__Fibrobacteraceae|g__Fibrobacter|s__Fibrobacter succinogenes	0	13	3	3	2	5	3
d__Bacteria|p__Thermotogae	1	7	4	1	1	7	2
d__Bacteria|p__Thermotogae|c__Thermotogae	1	7	4	1	1	7	2
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales	0	0	1	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae	0	0	1	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Mesotoga	0	0	1	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales|f__Kosmotogaceae|g__Mesotoga|s__Mesotoga prima	0	0	1	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales	0	7	1	1	1	6	2
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae	0	2	1	0	1	0	2
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium	0	1	1	0	1	0	2
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium|s__Fervidobacterium pennivorans	0	0	1	0	1	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Fervidobacterium|s__Fervidobacterium nodosum	0	1	0	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Thermosipho	0	1	0	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Fervidobacteriaceae|g__Thermosipho|s__Thermosipho africanus	0	1	0	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae	0	5	0	1	0	6	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Thermotogales|f__Thermotogaceae|g__Thermotoga	0	5	0	1	0	6	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales	1	0	2	0	0	1	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae	1	0	2	0	0	1	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Defluviitoga	0	0	0	0	0	1	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Defluviitoga|s__Defluviitoga tunisiensis	0	0	0	0	0	1	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Marinitoga	1	0	1	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Petrotogales|f__Petrotogaceae|g__Marinitoga|s__Marinitoga piezophila	0	0	1	0	0	0	0
d__Bacteria|p__Aquificae	1	3	3	1	0	5	2
d__Bacteria|p__Aquificae|c__Aquificae	1	3	3	1	0	5	2
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	0	0	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae	0	0	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium	0	0	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium|s__Desulfurobacterium thermolithotrophum	0	0	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	1	3	2	1	0	5	2
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae	1	3	2	1	0	5	2
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis	0	3	2	1	0	5	2
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis albus	0	3	2	1	0	5	2
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex	1	0	0	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex|s__Aquifex aeolicus	1	0	0	0	0	0	0
d__Bacteria|p__Nitrospirae	1	0	1	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira	1	0	1	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	1	0	1	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	1	0	1	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	0	0	0	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum ferrooxidans	0	0	0	0	0	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio	0	0	1	0	0	0	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio yellowstonii	0	0	1	0	0	0	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	1	0	0	0	0	0	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira sp. KM1	1	0	0	0	0	0	0
d__Bacteria|p__Synergistetes	2	1	1	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia	2	1	1	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	2	1	1	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	2	1	1	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminobacterium	0	0	1	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminobacterium|s__Aminobacterium colombiense	0	0	1	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus	1	1	0	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus porcorum	1	1	0	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio	1	0	0	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio|s__Thermanaerovibrio velox	1	0	0	0	0	0	0
d__Bacteria|p__Deferribacteres	2	1	1	1	0	1	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres	2	1	1	1	0	1	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	2	1	1	1	0	1	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	2	1	1	1	0	1	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio	0	0	0	1	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio|s__Denitrovibrio acetiphilus	0	0	0	1	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio	0	0	1	0	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio|s__Geovibrio thiophilus	0	0	1	0	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio	0	1	0	0	0	1	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio|s__Calditerrivibrio nitroreducens	0	1	0	0	0	1	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter	2	0	0	0	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter desulfuricans	2	0	0	0	0	0	0
d__Bacteria|p__Acidobacteria	2	3	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia	2	3	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	0	1	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae	0	1	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae|g__Candidatus Solibacter	0	1	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae|g__Candidatus Solibacter|s__Candidatus Solibacter usitatus	0	1	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	2	2	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	2	2	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus	2	2	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus albidus	2	2	0	0	0	0	0
d__Bacteria|s__bacterium BFN5	3	2	0	0	0	0	0
d__Bacteria|p__Spirochaetes	22	23	20	9	13	15	19
d__Bacteria|p__Spirochaetes|c__Spirochaetia	22	23	20	9	13	15	19
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales	2	4	1	1	0	4	1
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae	2	4	1	1	0	4	1
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira	2	4	1	1	0	4	1
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira kmetyi	0	0	1	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira interrogans	0	4	0	1	0	4	1
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira weilii	1	0	0	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Leptospirales|f__Leptospiraceae|g__Leptospira|s__Leptospira borgpetersenii	1	0	0	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales	2	2	1	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae	2	2	1	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira	2	2	1	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira intermedia	0	1	0	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira pilosicoli	0	1	1	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Brachyspirales|f__Brachyspiraceae|g__Brachyspira|s__Brachyspira hyodysenteriae	1	0	0	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales	18	17	18	8	13	11	18
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Borreliaceae	2	1	2	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Borreliaceae|g__Borreliella	1	0	1	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Borreliaceae|g__Borreliella|s__Borreliella afzelii	0	0	1	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Borreliaceae|g__Borrelia	1	1	1	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Borreliaceae|g__Borrelia|s__Borrelia sp. A-FGy1	0	0	1	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Borreliaceae|g__Borrelia|s__Borrelia miyamotoi	0	1	0	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Borreliaceae|g__Borrelia|s__Borrelia turcica	1	0	0	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae	16	16	16	8	13	11	18
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Salinispira	0	0	0	0	2	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Salinispira|s__Salinispira pacifica	0	0	0	0	2	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Oceanispirochaeta	0	1	2	0	0	2	1
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Oceanispirochaeta|s__Oceanispirochaeta sp. K2	0	1	2	0	0	2	1
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Sediminispirochaeta	1	0	1	0	2	1	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Sediminispirochaeta|s__Sediminispirochaeta smaragdinae	1	0	1	0	2	1	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Spirochaeta	1	0	3	2	0	1	2
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Spirochaeta|s__Spirochaeta africana	0	0	3	2	0	0	2
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Spirochaeta|s__Spirochaeta perfilievii	1	0	0	0	0	1	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Sphaerochaeta	2	4	4	0	0	1	2
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Sphaerochaeta|s__Sphaerochaeta pleomorpha	0	3	2	0	0	1	1
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Sphaerochaeta|s__Sphaerochaeta globosa	1	0	0	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Sphaerochaeta|s__Sphaerochaeta coccoides	1	1	2	0	0	0	1
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema	12	11	6	6	9	6	13
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema putidum	0	0	0	0	3	2	7
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema azotonutricium	0	0	1	2	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema socranskii	0	1	0	0	0	1	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema caldarium	1	2	0	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema succinifaciens	1	1	2	0	4	1	4
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema sp. OMZ 838	1	0	0	0	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema pedis	2	1	0	1	0	0	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema brennaborense	2	6	1	2	0	0	1
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema phagedenis	2	0	2	0	0	2	0
d__Bacteria|p__Spirochaetes|c__Spirochaetia|o__Spirochaetales|f__Spirochaetaceae|g__Treponema|s__Treponema denticola	2	0	0	1	1	0	0
d__Bacteria|p__Fusobacteria	24	8	10	3	2	8	4
d__Bacteria|p__Fusobacteria|c__Fusobacteriia	24	8	10	3	2	8	4
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales	24	8	10	3	2	8	4
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae	9	5	2	3	2	6	2
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sebaldella	0	0	0	0	0	1	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sebaldella|s__Sebaldella termitidis	0	0	0	0	0	1	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Pseudoleptotrichia	1	0	0	0	0	0	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Pseudoleptotrichia|s__Pseudoleptotrichia goodfellowii	1	0	0	0	0	0	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sneathia	1	0	0	0	0	0	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Sneathia|s__Sneathia amnii	1	0	0	0	0	0	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia	7	5	2	3	2	5	2
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia shahii	0	1	0	0	0	0	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia wadei	0	1	1	0	0	1	1
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia buccalis	1	0	0	0	0	0	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia sp. oral taxon 212	1	2	0	2	2	2	1
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia sp. oral taxon 847	2	1	0	0	0	2	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia trevisanii	3	0	0	0	0	0	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae	15	3	8	0	0	2	2
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Ilyobacter	0	0	3	0	0	0	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Ilyobacter|s__Ilyobacter polytropus	0	0	3	0	0	0	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium	15	3	5	0	0	2	2
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Fusobacteriaceae|g__Fusobacterium|s__Fusobacterium periodonticum	0	0	2	0	0	0	0
