#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Jonquetella|s__Jonquetella anthropi	23	7	1	12	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio	35	47	173	57	22	98	172	77
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio|s__Thermanaerovibrio acidaminovorans	12	21	7	11	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio|s__Thermanaerovibrio velox	16	24	165	44	22	98	172	77
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus	89	97	45	63	4	5	3	10
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus porcorum	89	97	45	63	4	5	3	10
d__Bacteria|p__Aquificae	214	255	311	200	179	182	244	188
d__Bacteria|p__Aquificae|c__Aquificae	214	255	311	200	179	182	244	188
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	53	45	28	37	41	25	6	26
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae	53	45	28	37	41	25	6	26
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio	12	9	4	7	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio|s__Thermovibrio ammonificans	12	9	4	7	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium	41	36	24	30	41	25	6	26
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium|s__Desulfurobacterium thermolithotrophum	41	36	24	30	41	25	6	26
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	159	210	283	163	138	157	238	162
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter	11	7	3	8	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter|s__Thermosulfidibacter takaii	11	7	3	8	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae	54	90	48	47	33	24	19	22
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella	21	36	19	24	33	24	19	21
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella marina	21	36	19	24	33	24	19	21
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium	33	54	29	23	0	0	0	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium azorense	14	22	10	7	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium sp. YO3AOP1	19	32	19	16	0	0	0	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae	94	113	232	108	105	133	219	140
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter	15	32	18	23	37	25	16	27
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter thermophilus	7	20	9	15	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter sp. T-8	8	12	9	8	37	25	16	27
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex	16	22	13	10	1	2	5	2
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex|s__Aquifex aeolicus	16	22	13	10	1	2	5	2
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum	18	9	4	8	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum sp. Y04AAS1	8	2	1	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis	45	50	197	67	67	106	198	111
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis ruber	7	5	1	8	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis minervae	11	8	5	4	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis albus	27	37	191	55	67	106	198	111
d__Bacteria|p__Acidobacteria	394	436	596	325	186	329	586	266
d__Bacteria|p__Acidobacteria|c__Blastocatellia	12	11	6	10	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Blastocatellia|g__Chloracidobacterium	12	11	6	10	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Blastocatellia|g__Chloracidobacterium|s__Chloracidobacterium thermophilum	12	11	6	10	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Vicinamibacteria	23	15	7	12	5	4	4	6
d__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae	23	15	7	12	5	4	4	6
d__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae|g__Luteitalea	23	15	7	12	5	4	4	6
d__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae|g__Luteitalea|s__Luteitalea pratensis	23	15	7	12	5	4	4	6
d__Bacteria|p__Acidobacteria|c__Acidobacteriia	354	408	583	303	181	325	582	260
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	46	44	19	28	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae	46	44	19	28	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae|g__Candidatus Solibacter	46	44	19	28	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae|g__Candidatus Solibacter|s__Candidatus Solibacter usitatus	46	44	19	28	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	304	362	563	273	181	325	582	260
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	304	362	563	273	181	325	582	260
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Candidatus Koribacter	27	18	8	8	8	6	7	11
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Candidatus Koribacter|s__Candidatus Koribacter versatilis	27	18	8	8	8	6	7	11
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter	29	25	10	17	15	6	5	6
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter|s__Edaphobacter sp. 12200R-103	29	25	10	17	15	6	5	6
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidisarcina	30	79	173	55	66	107	205	106
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidisarcina|s__Acidisarcina polymorpha	30	79	173	55	66	107	205	106
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium	33	55	159	49	31	91	168	66
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium|s__Acidobacterium capsulatum	33	55	159	49	31	91	168	66
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus	80	74	25	62	3	4	1	1
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus saanensis	14	10	3	9	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus albidus	24	29	14	22	2	3	1	1
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus roseus	42	35	8	31	1	1	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	91	90	178	70	58	111	196	70
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella tundricola	19	15	7	12	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella mallensis	31	20	9	8	0	0	0	0
