#Classification	Sample #1	Sample #2	Sample #3	Sample #4	Sample #5	Sample #6	Sample #7	Sample #8
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria	0	14	9	12	17	11	18	15
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales	0	14	9	12	17	11	18	15
d__Bacteria|p__Lentisphaerae|c__Lentisphaeria|o__Victivallales|s__Victivallales bacterium CCUG 44730	0	14	9	12	17	11	18	15
d__Bacteria|g__Thermobaculum	0	2	0	1	0	0	0	0
d__Bacteria|g__Thermobaculum|s__Thermobaculum terrenum	0	2	0	1	0	0	0	0
d__Bacteria|p__Chrysiogenetes	1	3	11	2	2	1	9	4
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes	1	3	11	2	2	1	9	4
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales	1	3	11	2	2	1	9	4
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae	1	3	11	2	2	1	9	4
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum	1	3	11	2	2	1	9	4
d__Bacteria|p__Chrysiogenetes|c__Chrysiogenetes|o__Chrysiogenales|f__Chrysiogenaceae|g__Desulfurispirillum|s__Desulfurispirillum indicum	1	3	11	2	2	1	9	4
d__Bacteria|p__Elusimicrobia	3	3	7	4	4	4	8	3
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia	1	2	1	1	0	2	1	1
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales	1	2	1	1	0	2	1	1
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae	1	2	1	1	0	2	1	1
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium	1	2	1	1	0	2	1	1
d__Bacteria|p__Elusimicrobia|c__Elusimicrobia|o__Elusimicrobiales|f__Elusimicrobiaceae|g__Elusimicrobium|s__Elusimicrobium minutum	1	2	1	1	0	2	1	1
d__Bacteria|p__Elusimicrobia|c__Endomicrobia	2	1	6	3	4	2	7	2
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales	2	1	6	3	4	2	7	2
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae	2	1	6	3	4	2	7	2
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium	2	1	6	3	4	2	7	2
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Endomicrobium proavitum	1	1	1	1	0	0	0	0
d__Bacteria|p__Elusimicrobia|c__Endomicrobia|o__Endomicrobiales|f__Endomicrobiaceae|g__Endomicrobium|s__Candidatus Endomicrobium trichonymphae	1	0	5	2	4	2	7	2
d__Bacteria|p__Dictyoglomi	7	5	3	6	2	0	1	5
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia	7	5	3	6	2	0	1	5
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales	7	5	3	6	2	0	1	5
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae	7	5	3	6	2	0	1	5
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus	7	5	3	6	2	0	1	5
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus turgidum	3	3	2	2	2	0	1	5
d__Bacteria|p__Dictyoglomi|c__Dictyoglomia|o__Dictyoglomales|f__Dictyoglomaceae|g__Dictyoglomus|s__Dictyoglomus thermophilum	4	2	1	4	0	0	0	0
d__Bacteria|p__Calditrichaeota	8	5	11	7	5	6	14	8
d__Bacteria|p__Calditrichaeota|c__Calditrichae	8	5	11	7	5	6	14	8
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales	8	5	11	7	5	6	14	8
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae	8	5	11	7	5	6	14	8
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix	8	5	11	7	5	6	14	8
d__Bacteria|p__Calditrichaeota|c__Calditrichae|o__Calditrichales|f__Calditrichaceae|g__Caldithrix|s__Caldithrix abyssi	8	5	11	7	5	6	14	8
d__Bacteria|s__bacterium 2013Arg42i	3	3	1	1	0	0	0	0
d__Bacteria|s__bacterium BFN5	9	6	6	6	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria	12	9	7	6	2	6	3	2
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria	12	9	7	6	2	6	3	2
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales	12	9	7	6	2	6	3	2
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae	12	9	7	6	2	6	3	2
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfurimonas	1	2	1	0	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfurimonas|s__Thermosulfurimonas marina	1	2	1	0	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium	1	0	0	0	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Caldimicrobium|s__Caldimicrobium thiodismutans	1	0	0	0	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfuriphilus	2	1	0	2	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermosulfuriphilus|s__Thermosulfuriphilus ammonigenes	2	1	0	2	0	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator	2	1	1	2	1	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfatator|s__Thermodesulfatator indicus	2	1	1	2	1	0	0	0
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium	6	5	5	2	1	6	3	2
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium geofontis	2	1	0	1	0	0	0	1
d__Bacteria|p__Thermodesulfobacteria|c__Thermodesulfobacteria|o__Thermodesulfobacteriales|f__Thermodesulfobacteriaceae|g__Thermodesulfobacterium|s__Thermodesulfobacterium commune	4	4	5	1	1	6	3	1
d__Bacteria|g__Vampirococcus	2	3	0	0	0	0	0	0
d__Bacteria|g__Vampirococcus|s__Vampirococcus sp. LiM	2	3	0	0	0	0	0	0
d__Bacteria|p__Candidatus Gracilibacteria	3	1	0	4	3	2	2	1
d__Bacteria|p__Candidatus Gracilibacteria|s__Candidatus Gracilibacteria bacterium HOT-871	3	1	0	4	3	2	2	1
d__Bacteria|p__Candidatus Saccharibacteria	9	5	19	12	8	10	12	6
d__Bacteria|p__Candidatus Saccharibacteria|g__Candidatus Saccharimonas	0	0	2	2	0	0	0	0
d__Bacteria|p__Candidatus Saccharibacteria|g__Candidatus Saccharimonas|s__Candidatus Saccharimonas aalborgensis	0	0	2	2	0	0	0	0
d__Bacteria|p__Candidatus Saccharibacteria|s__Candidatus Saccharibacteria bacterium YM_S32_TM7_50_20	1	0	0	1	0	0	0	0
d__Bacteria|p__Candidatus Saccharibacteria|s__Candidatus Saccharibacteria bacterium oral taxon 488	3	2	16	7	8	10	12	6
d__Bacteria|p__Synergistetes	16	26	22	18	5	11	10	11
d__Bacteria|p__Synergistetes|c__Synergistia	16	26	22	18	5	11	10	11
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales	16	26	22	18	5	11	10	11
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae	16	26	22	18	5	11	10	11
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminobacterium	0	0	1	1	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminobacterium|s__Aminobacterium colombiense	0	0	1	1	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium	0	7	1	1	1	0	0	1
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Acetomicrobium|s__Acetomicrobium mobile	0	7	1	1	1	0	0	1
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Jonquetella	1	2	0	2	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Jonquetella|s__Jonquetella anthropi	1	2	0	2	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermovirga	1	4	1	0	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermovirga|s__Thermovirga lienii	1	4	1	0	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminomonas	3	2	0	0	3	2	0	3
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Aminomonas|s__Aminomonas paucivorans	3	2	0	0	3	2	0	3
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus	5	8	4	9	0	0	0	1
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Cloacibacillus|s__Cloacibacillus porcorum	5	8	4	9	0	0	0	1
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio	6	3	15	5	1	9	10	6
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio|s__Thermanaerovibrio acidaminovorans	2	2	1	1	0	0	0	0
d__Bacteria|p__Synergistetes|c__Synergistia|o__Synergistales|f__Synergistaceae|g__Thermanaerovibrio|s__Thermanaerovibrio velox	4	1	14	4	1	9	10	6
d__Bacteria|p__Deferribacteres	16	18	23	16	8	16	20	10
d__Bacteria|p__Deferribacteres|c__Deferribacteres	16	18	23	16	8	16	20	10
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales	16	18	23	16	8	16	20	10
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae	16	18	23	16	8	16	20	10
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio	1	6	9	4	2	7	7	2
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Calditerrivibrio|s__Calditerrivibrio nitroreducens	1	6	9	4	2	7	7	2
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes	1	2	1	1	0	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Flexistipes|s__Flexistipes sinusarabici	1	2	1	1	0	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio	3	3	12	4	3	8	12	6
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Geovibrio|s__Geovibrio thiophilus	3	3	12	4	3	8	12	6
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio	5	2	0	6	3	1	1	2
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Denitrovibrio|s__Denitrovibrio acetiphilus	5	2	0	6	3	1	1	2
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter	6	5	1	1	0	0	0	0
d__Bacteria|p__Deferribacteres|c__Deferribacteres|o__Deferribacterales|f__Deferribacteraceae|g__Deferribacter|s__Deferribacter desulfuricans	6	5	1	1	0	0	0	0
d__Bacteria|p__Aquificae	17	23	34	28	17	15	24	18
d__Bacteria|p__Aquificae|c__Aquificae	17	23	34	28	17	15	24	18
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales	7	3	1	5	4	0	2	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae	7	3	1	5	4	0	2	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio	1	2	1	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Thermovibrio|s__Thermovibrio ammonificans	1	2	1	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium	6	1	0	4	4	0	2	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Desulfurobacteriales|f__Desulfurobacteriaceae|g__Desulfurobacterium|s__Desulfurobacterium thermolithotrophum	6	1	0	4	4	0	2	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales	10	20	33	23	13	15	22	17
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter	1	0	0	0	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|g__Thermosulfidibacter|s__Thermosulfidibacter takaii	1	0	0	0	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae	2	6	9	5	6	2	0	3
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium	1	2	6	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium sp. YO3AOP1	0	2	4	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Sulfurihydrogenibium|s__Sulfurihydrogenibium azorense	1	0	2	0	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella	1	4	3	4	6	2	0	3
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Hydrogenothermaceae|g__Persephonella|s__Persephonella marina	1	4	3	4	6	2	0	3
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae	7	14	24	18	7	13	22	14
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter	1	4	0	5	0	1	3	2
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter thermophilus	0	2	0	3	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobacter|s__Hydrogenobacter sp. T-8	1	2	0	2	0	1	3	2
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum	2	1	0	2	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Hydrogenobaculum|s__Hydrogenobaculum sp. Y04AAS1	0	0	0	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis	2	7	23	11	7	12	19	11
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis albus	0	5	21	9	7	12	19	11
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis minervae	1	2	1	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Thermocrinis|s__Thermocrinis ruber	1	0	1	1	0	0	0	0
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex	2	2	1	0	0	0	0	1
d__Bacteria|p__Aquificae|c__Aquificae|o__Aquificales|f__Aquificaceae|g__Aquifex|s__Aquifex aeolicus	2	2	1	0	0	0	0	1
d__Bacteria|p__Nitrospirae	21	17	25	14	3	7	21	10
d__Bacteria|p__Nitrospirae|c__Nitrospira	21	17	25	14	3	7	21	10
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales	21	17	25	14	3	7	21	10
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae	21	17	25	14	3	7	21	10
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio	6	2	5	6	0	0	0	1
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Thermodesulfovibrio|s__Thermodesulfovibrio yellowstonii	6	2	5	6	0	0	0	1
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira	7	11	3	4	2	1	3	4
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Candidatus Nitrospira inopinata	0	9	1	1	0	0	1	1
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira japonica	1	1	0	0	0	0	0	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira defluvii	1	0	0	0	0	0	0	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira sp. KM1	2	1	1	1	0	0	1	2
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Nitrospira|s__Nitrospira moscoviensis	3	0	1	2	2	1	1	1
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum	8	4	17	4	1	6	18	5
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum ferrooxidans	0	3	16	2	1	5	17	5
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum ferriphilum	1	1	1	1	0	1	1	0
d__Bacteria|p__Nitrospirae|c__Nitrospira|o__Nitrospirales|f__Nitrospiraceae|g__Leptospirillum|s__Leptospirillum sp. Group II 'CF-1'	3	0	0	0	0	0	0	0
d__Bacteria|p__Acidobacteria	48	49	53	31	16	39	45	25
d__Bacteria|p__Acidobacteria|c__Vicinamibacteria	1	0	0	1	1	0	2	1
d__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae	1	0	0	1	1	0	2	1
d__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae|g__Luteitalea	1	0	0	1	1	0	2	1
d__Bacteria|p__Acidobacteria|c__Vicinamibacteria|f__Vicinamibacteraceae|g__Luteitalea|s__Luteitalea pratensis	1	0	0	1	1	0	2	1
d__Bacteria|p__Acidobacteria|c__Blastocatellia	2	0	0	2	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Blastocatellia|g__Chloracidobacterium	2	0	0	2	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Blastocatellia|g__Chloracidobacterium|s__Chloracidobacterium thermophilum	2	0	0	2	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia	45	49	53	28	15	39	43	24
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales	10	8	6	1	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae	10	8	6	1	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae|g__Candidatus Solibacter	10	8	6	1	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Bryobacterales|f__Solibacteraceae|g__Candidatus Solibacter|s__Candidatus Solibacter usitatus	10	8	6	1	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales	35	41	47	27	15	39	43	24
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae	35	41	47	27	15	39	43	24
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter	0	4	0	2	0	1	1	1
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Edaphobacter|s__Edaphobacter sp. 12200R-103	0	4	0	2	0	1	1	1
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidisarcina	2	7	13	7	3	11	17	9
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidisarcina|s__Acidisarcina polymorpha	2	7	13	7	3	11	17	9
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Candidatus Koribacter	2	3	1	1	3	0	1	1
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Candidatus Koribacter|s__Candidatus Koribacter versatilis	2	3	1	1	3	0	1	1
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium	6	8	18	6	1	13	13	9
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Acidobacterium|s__Acidobacterium capsulatum	6	8	18	6	1	13	13	9
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus	11	5	2	4	0	1	0	1
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus saanensis	3	0	0	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus albidus	4	2	1	2	0	1	0	1
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Terriglobus|s__Terriglobus roseus	4	3	1	2	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella	14	10	12	6	8	13	11	3
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella tundricola	4	1	0	0	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella mallensis	4	6	1	1	0	0	0	0
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella sp. WH15	3	1	11	3	5	13	11	3
d__Bacteria|p__Acidobacteria|c__Acidobacteriia|o__Acidobacteriales|f__Acidobacteriaceae|g__Granulicella|s__Granulicella sp. 5B5	3	2	0	2	3	0	0	0
d__Bacteria|p__Thermotogae	54	74	71	53	24	29	64	38
d__Bacteria|p__Thermotogae|c__Thermotogae	54	74	71	53	24	29	64	38
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Mesoaciditogales	4	4	1	3	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Mesoaciditogales|f__Mesoaciditogaceae	4	4	1	3	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Mesoaciditogales|f__Mesoaciditogaceae|g__Athalassotoga	4	4	1	3	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Mesoaciditogales|f__Mesoaciditogaceae|g__Athalassotoga|s__Athalassotoga saccharophila	4	4	1	3	0	0	0	0
d__Bacteria|p__Thermotogae|c__Thermotogae|o__Kosmotogales	5	12	2	4	0	0	0	0
