species,abundance_cols.healthy_stool_10_1_noerr,abundance_cols.healthy_stool_10_10_noerr,abundance_cols.healthy_stool_10_100_noerr,abundance_cols.healthy_stool_10_50_noerr,abundance_cols.healthy_stool_100_1_noerr,abundance_cols.healthy_stool_100_10_noerr,abundance_cols.healthy_stool_100_100_noerr,abundance_cols.healthy_stool_100_50_noerr
Bifidobacterium gallicum,0,0,0,0,0,0,1,0
Bifidobacterium longum,0,0,0,0,646,1587,479,1026
Bifidobacterium pseudolongum,0,0,0,0,1,3,8,1
Bifidobacterium pullorum,0,0,0,0,1,0,1,2
Bifidobacterium reuteri,0,0,0,0,4,6,10,7
Bifidobacterium saguini,0,0,0,0,1,3,1,4
Bifidobacterium scardovii,0,0,0,0,0,2,2,0
Bifidobacterium subtile,0,0,0,0,0,0,1,0
Bifidobacterium thermophilum,2,0,2,0,0,0,0,0
Bilophila wadsworthia,0,0,0,0,0,0,2,1
Bittarella massiliensis (ex Durand et al. 2017),0,1,0,0,1,0,0,0
Blautia hansenii,10,2,2,7,25,74,61,87
Blautia hydrogenotrophica,3,7,6,5,4,5,1,5
Blautia obeum,38,31,17,34,756,1993,1809,1258
Blautia producta,0,0,0,0,2,5,7,3
Brachyspira pilosicoli,0,0,0,0,0,1,0,0
Brussowvirus bvO1205,0,0,0,0,0,0,0,1
Butyricicoccus pullicaecorum,4,1,0,9,2,3,1,0
Butyricimonas synergistica,0,1,1,0,1,0,1,1
Caballeronia glathei,0,0,0,0,0,0,1,0
Capnocytophaga gingivalis,0,0,0,0,0,0,0,1
Capnocytophaga granulosa,0,0,0,0,0,0,0,1
Carnobacterium maltaromaticum,0,0,0,0,0,0,2,0
Cedecea neteri,0,0,0,0,0,2,0,0
Cellulomonas carbonis,0,0,1,0,2,0,1,0
Centipeda periodontii,0,0,0,0,1,0,0,0
Chitinilyticum aquatile,0,0,0,0,0,0,2,1
Christensenella minuta,0,0,0,0,2,4,13,3
Christensenella timonensis,0,0,0,0,1,0,1,0
Clostridioides difficile,0,0,0,0,5,3,4,5
[Clostridium] aminophilum,1,1,0,13,2,0,0,1
Clostridium kluyveri,1,0,0,1,0,0,0,0
Clostridium lundense,0,0,0,0,0,1,0,0
Clostridium paraputrificum,0,0,0,0,0,1,0,0
Clostridium phoceensis,10,5,5,3,3,5,3,8
[Clostridium] scindens,0,0,0,1,0,1,0,3
[Clostridium] symbiosum,100,1,181,18,79,8,1,72
Collinsella aerofaciens,2981,4500,7088,2702,1272,1187,689,2060
Collinsella bouchesdurhonensis,0,0,0,0,0,2,13,2
Collinsella ihumii,0,1,0,0,0,1,0,0
Collinsella stercoris,0,0,0,0,0,0,6,0
Comamonas kerstersii,0,0,0,0,0,0,0,1
Coprobacter fastidiosus,0,0,1,0,0,2,3,1
Coprococcus eutactus,32,6,16,4,532,1337,839,907
Corynebacterium lipophiloflavum,0,0,0,0,0,0,0,1
Corynebacterium singulare,0,0,0,0,0,0,1,0
Cronobacter sakazakii,0,0,0,0,0,0,0,5
Cuauhtlivirus mEpX1,0,0,0,0,1,2,0,0
Culturomica massiliensis,0,0,0,0,3,2,85,9
Cupriavidus basilensis,0,0,0,0,2,7,40,12
Cupriavidus metallidurans,0,0,0,0,87,274,1251,376
Cupriavidus pauculus,0,0,0,0,1,0,1,1
Dechloromonas agitata,0,0,0,0,0,0,1,0
Denitrobacterium detoxificans,0,0,0,0,0,0,0,1
Desulfitobacterium dichloroeliminans,0,0,0,0,0,0,5,2
Desulfovibrio piger,0,0,0,0,23,60,259,80
Dialister invisus,0,0,0,0,46,119,535,172
Dialister pneumosintes,0,0,0,0,0,0,1,0
Dialister succinatiphilus,2,0,0,0,4,5,5,2
Diegovirus dv7502Stx,0,0,0,0,0,3,0,0
Donghicola eburneus,0,0,0,0,0,1,0,0
Dorea formicigenerans,0,0,0,0,231,611,1102,383
Dorea longicatena,0,0,0,0,729,1837,841,1145
Edwardsiella anguillarum,0,0,0,0,1,1,0,1
Eggerthella lenta,0,0,0,0,50,125,793,164
Eisenbergiella tayi,0,0,0,0,0,0,2,0
Emergencia timonensis,0,0,0,0,13,28,6,13
Enterobacter hormaechei,0,0,0,0,0,2,17,4
Enterobacter kobei,0,0,0,0,0,2,1,2
[Enterobacter] lignolyticus,0,0,0,0,1,4,4,1
Enterobacteria phage cdtI,0,0,0,0,5,5,0,4
Enterobacteria phage mEp460,0,0,0,0,0,2,4,0
Enterobacteria phage SfV,0,0,0,0,0,2,0,0
Enterocloster asparagiformis,0,0,0,0,3,2,2,1
Enterocloster bolteae,0,0,0,0,1,10,5,3
Enterocloster citroniae,0,1,0,0,0,1,0,7
Enterococcus casseliflavus,0,0,0,0,0,0,3,1
Enterococcus cecorum,0,0,0,0,0,0,1,0
Enterococcus faecalis,0,0,0,0,0,0,9,0
Enterococcus faecium,0,0,0,0,40,105,679,146
Enterococcus gilvus,0,0,0,0,2,4,4,5
Enterococcus hirae,0,0,0,0,0,0,4,0
Enterococcus italicus,0,0,0,0,0,0,3,0
Enterococcus malodoratus,0,0,0,0,1,0,2,0
Enterococcus massiliensis,0,0,0,0,0,0,2,0
Enterococcus mundtii,0,0,0,0,0,0,0,1
Enterococcus saccharolyticus,0,0,0,0,0,0,2,0
Entomohabitans teleogrylli,0,0,0,0,0,0,3,0
Erwinia oleae,0,0,0,0,0,0,1,1
Erwinia tracheiphila,0,0,0,0,0,1,3,4
Escherichia Stx1 converting phage,0,0,0,0,0,0,0,3
Escherichia virus DE3,0,0,0,0,0,19,0,0
Eshraghiella crossota,24,38,32,32,334,875,707,585
Eubacterium coprostanoligenes,2,0,1,1,0,1,0,0
Eubacterium pyruvativorans,2,0,1,0,0,0,0,0
Eubacterium ramulus,0,0,0,0,83,194,880,282
Eubacterium ventriosum,1,0,1,5,55,127,597,201
Faecalibacterium duncaniae,638,920,752,1248,255,253,84,422
Faecalicatena contorta,9,2,3,1,5,1,3,40
Faecalicoccus pleomorphus,7,5,12,15,4,4,0,7
Falseniella ignava,0,0,0,0,0,1,0,0
Felsduovirus RE2010,0,0,0,0,0,0,0,1
Finegoldia magna,0,0,0,0,9,20,80,33
Flavonifractor plautii,26,8,13,31,102,248,818,330
Fusarium proliferatum,0,0,0,0,0,2,0,3
Fusicatenibacter saccharivorans,3,2,5,4,1118,2628,696,1653
Gemmiger formicilis,45,84,49,105,188,352,895,510
Globicatella sulfidifaciens,0,0,0,0,0,0,1,0
Gordonibacter pamelaeae,43,50,0,35,61,105,793,192
Haemophilus sputorum,0,0,0,0,1,5,10,0
Hallella bergensis,0,0,0,0,0,6,15,17
Helcococcus kunzii,0,0,0,0,0,0,3,0
Hespellia stercorisuis,0,0,0,0,0,1,2,1
Heyndrickxia acidiproducens,0,0,0,0,0,0,1,0
Holdemanella biformis,0,0,0,0,84,204,474,305
Holdemania massiliensis,4,7,6,9,4,5,0,8
Hoylesella buccalis,0,0,0,0,28,96,406,143
Hoylesella enoeca,0,0,0,0,0,0,1,0
Hoylesella marshii,0,0,0,0,0,1,1,1
Hoylesella nanceiensis,0,0,0,0,5,7,3,3
Hoylesella oralis,0,0,0,0,0,0,1,1
Hoylesella saccharolytica,0,0,0,0,1,0,0,0
Hoylesella shahii,0,0,0,0,0,0,0,3
Hoylesella timonensis,0,0,0,0,62,150,945,178
Hungatella hathewayi,18,1,0,0,3,10,24,15
Intestinibacter bartlettii,0,0,0,0,66,174,841,247
Intestinimonas butyriciproducens,0,0,3,2,0,1,0,0
Johnsonella ignava,1,9,3,3,1,1,0,0
Kaistia adipata,0,0,0,0,0,0,2,2
Kandleria vitulina,0,0,0,0,1,0,9,3
Kluyvera ascorbata,0,0,0,0,1,1,2,3
Kluyvera cryocrescens,0,0,0,0,0,0,3,5
Kosakonia cowanii,0,0,0,0,0,2,1,3
Kosakonia sacchari,0,0,0,0,0,0,1,0
Kwaitsingvirus HK544,0,0,0,0,0,0,0,1
Lachnoanaerobaculum saburreum,5,6,0,2,0,0,2,1
Lachnobacterium bovis,0,0,0,0,0,0,1,0
Lachnoclostridium phocaeense,0,4,0,1,4,18,6,3
Lachnospira eligens,0,0,0,0,567,1437,783,940
Lachnospira multipara,0,0,0,0,222,597,444,352
Lacrimispora saccharolytica,0,0,0,0,1,0,0,0
Lactobacillus amylovorus,0,1,1,1,0,0,0,0
Lactonifactor longoviformis,0,0,0,0,9,1,0,0
Lambdavirus HK630,0,0,0,0,6,0,5,0
Lambdavirus lambda,0,0,0,0,0,1,0,19
Lederbergvirus HK620,0,0,0,0,0,0,1,0
Lederbergvirus Sf6,0,0,0,0,0,2,1,0
Leuconostoc lactis,0,0,0,0,0,1,0,0
Levyella massiliensis,0,0,0,0,1,0,0,0
Leyella stercorea,71,16,49,8,307,747,895,559
Ligilactobacillus agilis,0,0,0,0,0,0,2,1
Ligilactobacillus equi,0,0,0,0,0,0,2,0
Ligilactobacillus hayakitensis,0,0,0,0,0,1,0,0
Ligilactobacillus ruminis,0,0,0,0,51,133,580,192
Limosilactobacillus mucosae,0,0,0,0,0,1,0,0
Limosilactobacillus vaginalis,0,0,0,0,0,1,1,0
Marienburgvirus BP4795,0,0,0,0,2,8,5,42
Marinilactibacillus piezotolerans,0,2,3,0,0,0,0,1
Marvinbryantia formatexigens,1,0,1,2,0,4,6,6
Mediterranea massiliensis,0,0,1,0,6,7,14,9
Mediterraneibacter gnavus,4,1,0,5,138,334,597,428
Megasphaera elsdenii,0,0,0,0,30,76,549,90
Merdibacter massiliensis,0,2,0,0,0,33,11,0
Merdimmobilis hominis,0,0,0,0,0,0,0,1
Merdimonas faecis,0,0,0,0,0,2,3,1
Metapseudomonas otitidis,0,0,0,0,0,1,0,2
Metapseudomonas resinovorans,0,0,0,0,0,0,0,1
Microbacterium mangrovi,0,0,0,0,0,0,0,1
Muribaculum intestinale,0,0,0,0,0,3,2,0
Negativibacillus massiliensis,0,0,0,0,3,15,2,0
Nissabacter archeti,0,0,0,0,0,1,0,0
Nitrolancea hollandica,0,0,0,0,0,0,0,1
Obesumbacterium proteus,0,0,0,0,0,0,0,3
Oceanivirga salmonicida,0,0,0,0,0,0,2,0
Odoribacter laneus,0,0,0,0,2,7,1,2
Odoribacter splanchnicus,0,0,1,0,317,828,1253,508
Olegusella massiliensis,0,0,0,0,1,0,0,0
Oslovirus ov191,0,0,0,0,0,0,0,1
Oslovirus PA2,0,0,0,0,1,0,0,0
Oslovirus TL2011,0,0,0,0,0,1,0,0
Oxalobacter paraformigenes,2,2,0,7,0,0,0,0
Paenibacillus alvei,0,0,0,0,0,0,1,0
Pankowvirus pv1717,0,0,0,0,1,13,4,2
Pankowvirus YYZ2008,0,0,0,0,29,80,19,16
Pantoea alhagi,0,0,0,0,0,2,0,0
Pantoea septica,0,0,0,0,1,0,0,0
Parabacteroides distasonis,3,2,8,10,664,1679,1015,1024
Parabacteroides goldsteinii,1,0,0,0,7,3,8,3
Parabacteroides johnsonii,23,32,69,15,103,229,163,177
Parafannyhessea umbonata,0,0,0,0,0,1,0,1
Parapedobacter indicus,0,0,0,0,2,0,0,0
Paraprevotella xylaniphila,0,8,5,5,73,169,902,255
Parasutterella excrementihominis,3,0,0,1,72,193,795,284
Parolsenella massiliensis,0,0,0,0,0,0,1,0
Peptoniphilus faecalis,0,0,0,0,0,1,0,0
Peptoniphilus grossensis,0,0,0,0,0,0,3,0
Peptoniphilus lacrimalis,0,0,0,0,0,1,2,0
Peptoniphilus obesi,0,0,0,0,0,0,1,0
Peptoniphilus rhinitidis,0,0,0,0,0,0,3,0
Peptostreptococcus anaerobius,0,0,0,0,2,0,4,2
Petrimonas mucosa,0,0,0,0,0,0,1,0
Phascolarctobacterium succinatutens,0,0,0,0,169,450,539,293
Phocaeicola barnesiae,5,4,5,5,11,2,4,13
Phocaeicola coprocola,9,22,0,10,115,302,1122,406
Phocaeicola coprophilus,1,2,0,1,4,7,26,16
Phocaeicola paurosaccharolyticus,0,0,0,0,0,2,2,0
Phocaeicola plebeius,68,102,2,49,918,2443,1201,1369
Phocaeicola salanitronis,0,0,1,0,0,1,8,12
Phocaeicola vulgatus,13788,20714,23111,24039,5938,5359,2229,9690
Phoenicibacter congonensis,0,0,0,0,1,1,1,1
Pluralibacter gergoviae,0,0,0,0,0,1,0,1
Porphyromonas cangingivalis,0,0,0,0,0,1,2,0
Porphyromonas circumdentaria,0,0,0,0,0,1,0,0
Porphyromonas endodontalis,0,0,0,0,1,0,0,0
Porphyromonas gingivalis,0,3,0,0,0,1,1,2
Porphyromonas gingivicanis,0,0,0,0,0,0,1,0
Porphyromonas levii,0,0,0,0,0,3,1,1
Porphyromonas somerae,0,0,0,0,0,0,2,1
Prevotella amnii,0,2,0,0,4,0,0,0
Prevotella aurantiaca,0,0,0,0,0,2,0,0
Prevotella bivia,0,0,0,0,118,335,661,512
Prevotella corporis,0,0,0,0,45,104,729,169
Prevotella dentalis,0,0,0,0,1,1,2,1
Prevotella dentasini,0,0,0,0,0,3,0,0
Prevotella denticola,0,0,0,0,0,0,1,0
Prevotella disiens,0,0,0,0,34,85,925,131
Prevotella falsenii,0,0,0,0,2,0,1,0
Prevotella ihumii,0,0,0,0,1,37,26,4
Prevotella micans,0,0,0,0,0,1,2,3
Prevotella multiformis,0,0,0,0,0,14,6,7
Prevotella nigrescens,0,0,0,0,0,1,1,1
Prevotella pallens,0,0,0,0,1,3,1,1
Prevotella veroralis,0,0,0,0,0,0,0,1
Prevotellamassilia timonensis,0,0,1,0,1,2,10,3
Provencibacterium massiliense,0,0,0,0,3,0,0,5
Pseudobutyrivibrio ruminis,1,0,0,0,0,0,0,0
Pseudoflavonifractor capillosus,1,0,0,2,2,4,14,17
Pseudostreptobacillus hongkongensis,0,0,0,0,0,0,1,0
Punavirus RCS47,0,0,0,0,0,0,6,3
Punavirus SJ46,0,0,0,0,0,4,5,1
Rhodococcoides kyotonense,0,0,0,0,1,0,0,0
Rhodopseudomonas palustris,0,0,0,0,1,0,0,0
Rikenella microfusus,9,0,102,5,0,0,1,1
Roseburia faecis,62,32,180,16,1076,2598,700,1537
Roseburia hominis,31,25,35,33,195,955,951,746
Roseburia intestinalis,48,5,4,6,473,1450,1495,889
Roseburia inulinivorans,6,8,10,11,727,1702,1125,1418
Ruminiclostridium cellulolyticum,0,1,0,0,0,0,0,0
Ruminiclostridium josui,2,0,4,1,0,0,0,2
Ruminococcus bicirculans (ex Wegman et al. 2014),0,0,0,0,1,4,5,2
Ruminococcus callidus,6,3,0,7,0,1,0,1
Ruminococcus gauvreauii,0,1,0,1,0,0,0,0
[Ruminococcus] lactaris,4,0,0,0,185,491,771,352
Ruminococcus sp. YE282,6,4,8,6,2,1,0,1
[Ruminococcus] torques,1,0,0,2,491,1316,669,823
Ruthenibacterium lactatiformans,2,14,5,20,162,439,1207,654
Salmonella enterica,0,0,0,0,5,8,36,2
Sanguibacteroides justesenii,0,0,0,0,1,4,13,4
Sarcina ventriculi,0,0,0,0,0,0,1,0
Schaalia turicensis,0,0,0,0,0,0,4,0
Segatella albensis,0,0,0,0,1,0,1,0
Segatella baroniae,0,0,0,0,0,1,0,0
Segatella copri,50262,25217,10264,23664,49642,4793,1009,8450
Segatella maculosa,0,0,0,0,1,0,0,0
Segatella salivae,0,0,0,0,0,0,4,3
Sellimonas intestinalis,0,0,0,0,0,0,1,0
Senegalimassilia anaerobia,0,0,0,0,6,1,1,0
Serratia rubidaea,0,0,0,0,0,0,1,0
Shamshuipovirus HK022,0,0,0,0,0,0,3,1
Sharpea azabuensis,2,0,0,0,1,0,1,1
Shigella dysenteriae,0,0,0,0,838,2089,173,1281
Shigella flexneri,0,0,0,0,152,422,945,261
Shuttleworthella satelles,1,0,0,0,0,0,1,0
Siccibacter turicensis,0,0,0,0,0,0,0,1
Slackia piriformis,0,0,0,0,0,1,0,1
Sodalis praecaptivus,0,0,0,0,0,0,1,0
Solobacterium moorei,0,0,0,0,1,0,0,0
Sporosarcina koreensis,0,0,0,0,1,1,2,2
Stenotrophomonas acidaminiphila,0,0,0,0,0,0,1,0
Stomatobaculum longum,4,7,6,13,3,0,1,1
Streptobacillus notomytis,0,0,0,0,1,0,1,0
Streptococcus cristatus,0,0,0,0,0,0,0,1
Streptococcus parasanguinis,0,0,0,0,41,108,615,158
Streptococcus pseudoporcinus,0,0,0,0,0,2,2,1
Streptococcus salivarius,0,0,0,0,73,226,334,285
Streptococcus suis,0,0,0,0,1,0,0,0
Streptococcus thermophilus,0,0,0,0,99,231,494,369
Subdoligranulum variabile,0,0,0,0,0,6,5,3
Succiniclasticum ruminis,0,0,0,0,0,0,1,0
Succinispira mobilis,0,0,0,0,0,0,1,0
Tannerella forsythia,0,0,0,0,0,0,15,0
Thauera humireducens,0,0,0,0,1,0,0,0
Thomasclavelia ramosa,0,0,0,0,0,0,1,0
Thomasclavelia saccharogumia,0,0,0,0,6,0,0,0
Thomasclavelia spiroformis,0,0,0,0,0,0,1,1
Trabulsiella odontotermitis,0,0,0,0,3,0,1,2
Traorella massiliensis,0,1,1,2,0,20,3,0
Traversvirus II,0,0,0,0,21,0,30,17
Traversvirus min27,0,0,0,0,0,4,0,0
Traversvirus PA28,0,0,0,0,0,5,3,1
Traversvirus tv86,0,0,0,0,0,0,0,1
Traversvirus tv933W,0,0,0,0,0,58,0,0
Treponema succinifaciens,1,0,0,0,0,0,0,0
Treponema vincentii,1,0,0,1,0,0,0,1
Tumebacillus flagellatus,0,0,0,0,1,0,0,0
Turicimonas muris,0,0,0,0,0,0,1,0
Urinicoccus massiliensis,0,0,0,0,0,0,0,1
Veillonella parvula,0,0,0,0,30,78,604,113
Wanchaivirus mEp234,0,0,0,0,0,2,0,0
Wickerhamomyces ciferrii,0,0,0,0,0,2,4,6
Xenophilus azovorans,0,0,0,0,0,0,1,0
Xenorhabdus cabanillasii,0,0,0,0,1,5,12,3
Xuanwuvirus P88,0,0,0,0,2,7,2,6
Xylanibacter ruminicola,0,1,0,0,0,0,0,0
Yersinia enterocolitica,0,0,0,0,1,0,0,0
Yersinia pestis,0,0,0,0,0,2,6,6
Yokenella regensburgei,0,0,0,0,1,3,10,1
