Superkingdom,Phylum,Class,Order,Family,Genus,Species,Name,ti,Run_mock__10eb-90gr-2,Run_mock__50eb-50gr-1,Run_mock__5eb-95gr-2,Run_mock__95eb-5gr-1,Run_mock__ec-Bl-Rp-Rm-Cn-2,Run_mock__vaio-Mock-10-4-1,Run_mock__vaio-Mock-10-4-2,Run_mock__vaio-Mock-10-5-1,Run_mock__vaio-Mock-10-6-3,Run_newprimers__vaio-Mock-Newprimer-4
NA,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus viridans,Aerococcus viridans,95,1,1,1,12,0,6,9,6,5,9
NA,Actinomycetota,Actinomycetes,Propionibacteriales,Nocardioidaceae,Aeromicrobium,Aeromicrobium erythreum,Aeromicrobium erythreum,96,1,0,0,1,4,5,5,6,12,8
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas hydrophila,Aeromonas hydrophila,97,0,0,0,2,5,1,4,0,2,1
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas media,Aeromonas media,98,0,0,0,0,3,1,1,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida,Aeromonas salmonicida,99,0,0,0,0,1,0,0,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas schubertii,Aeromonas schubertii,100,0,0,0,0,1,0,0,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas veronii,Aeromonas veronii,101,0,0,0,0,1,0,0,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Agarivorans,Agarivorans gilvus,Agarivorans gilvus,102,0,1,0,5,4,2,3,3,4,0
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,g_Aggregatibacter,Aggregatibacter,103,0,1,0,0,0,0,0,0,0,0
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter actinomycetemcomitans,Aggregatibacter actinomycetemcomitans,104,31,109,19,298,16,47,71,53,55,61
NA,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter aphrophilus,Aggregatibacter aphrophilus,105,30,86,16,237,2,16,24,13,14,59
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,g_Agrobacterium,Agrobacterium,106,0,0,0,0,0,0,1,0,0,1
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium fabrum,Agrobacterium fabrum,107,6,1,2,3,2,5698,6711,7184,7481,3281
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,Agrobacterium sp. H13-3,108,0,0,0,0,0,43,49,77,57,47
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium sp. RAC06,Agrobacterium sp. RAC06,109,0,0,0,0,0,1,8,0,1,2
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium tumefaciens,Agrobacterium tumefaciens,110,6,1,2,4,2,5766,6785,7270,7567,3344
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Rhizobiaceae,Agrobacterium,Agrobacterium vitis,Agrobacterium vitis,111,0,1,0,0,0,138,156,157,131,99
NA,Actinomycetota,Actinomycetes,Micrococcales,Microbacteriaceae,Agromyces,Agromyces aureus,Agromyces sp. AR33,112,2,5,0,5,16,12,9,13,8,7
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia glycaniphila,Akkermansia glycaniphila,113,0,0,0,0,0,0,0,0,1,3726
NA,Verrucomicrobiota,Verrucomicrobiia,Verrucomicrobiales,Akkermansiaceae,Akkermansia,Akkermansia muciniphila,Akkermansia muciniphila,114,0,1,0,0,0,0,0,0,0,821
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Alcaligenes,Alcaligenes faecalis,Alcaligenes faecalis,115,0,3,0,3,34,12,9,12,19,13
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,g_Alcanivorax,Alcanivorax,116,0,0,0,0,2,0,0,1,0,1
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax borkumensis,Alcanivorax borkumensis,117,1,0,0,1,6,5,15,10,9,11
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alloalcanivorax,Alloalcanivorax dieselolei,Alcanivorax dieselolei,118,2,9,1,14,14,28,35,38,51,39
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Isoalcanivorax,Isoalcanivorax pacificus,Alcanivorax pacificus,119,2,6,0,14,9,11,22,21,26,9
NA,Pseudomonadota,Gammaproteobacteria,Oceanospirillales,Alcanivoracaceae,Alcanivorax,Alcanivorax sp. NBRC 101098,Alcanivorax sp. NBRC 101098,120,1,0,0,1,6,5,15,10,9,11
NA,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Pseudalgibacter,Pseudalgibacter alginicilyticus,Algibacter alginolytica,121,0,0,0,0,0,1,0,0,1,0
NA,Bacteroidota,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,Algoriphagus sanaruensis,Algoriphagus sp. M8-2,122,31,23,34,17,0,4,7,10,5,13
NA,Pseudomonadota,Betaproteobacteria,Burkholderiales,Comamonadaceae,Alicycliphilus,Alicycliphilus denitrificans,Alicycliphilus denitrificans,123,8,4,4,5,8,33,18,18,29,13
NA,Bacillota,Bacilli,Bacillales,Alicyclobacillaceae,Alicyclobacillus,Alicyclobacillus acidocaldarius,Alicyclobacillus acidocaldarius,124,8,8,6,18,10,4,15,12,12,5
NA,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio fischeri,Aliivibrio fischeri,125,0,0,0,0,8,4,6,2,6,5
NA,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio salmonicida,Aliivibrio salmonicida,126,0,0,0,0,8,4,6,2,6,5
NA,Pseudomonadota,Gammaproteobacteria,Vibrionales,Vibrionaceae,Aliivibrio,Aliivibrio wodanis,Aliivibrio wodanis,127,0,0,0,0,8,4,6,2,6,5
NA,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes finegoldii,Alistipes finegoldii,128,261,181,292,107,27,72,71,58,72,5
NA,Pseudomonadota,Gammaproteobacteria,Chromatiales,Ectothiorhodospiraceae,Alkalilimnicola,Alkalilimnicola ehrlichii,Alkalilimnicola ehrlichii,129,13,18,11,28,38,44,53,49,68,60
NA,Bacillota,Clostridia,Peptostreptococcales,Natronincolaceae,Alkaliphilus,Alkaliphilus metalliredigens,Alkaliphilus metalliredigens,130,1,5,3,10,1,2,1,12,2,3
NA,Bacillota,Clostridia,Peptostreptococcales,Natronincolaceae,Alkaliphilus,Alkaliphilus oremlandii,Alkaliphilus oremlandii,131,7,15,9,35,8,10,13,26,5,2
NA,Pseudomonadota,Gammaproteobacteria,Chromatiales,Chromatiaceae,Allochromatium,Allochromatium vinosum,Allochromatium vinosum,132,1,4,0,18,23,23,41,40,39,1
NA,Pseudomonadota,Gammaproteobacteria,Thiotrichales,Francisellaceae,Allofrancisella,Allofrancisella guangzhouensis,Allofrancisella guangzhouensis,133,0,3,2,1,2,0,1,0,0,8
NA,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,g_Altererythrobacter,Altererythrobacter,136,0,0,0,0,1,6,5,7,8,24
NA,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Croceibacterium,Croceibacterium atlanticum,Altererythrobacter atlanticus,137,0,2,0,3,0,1,2,0,3,6
NA,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Tsuneonella,Tsuneonella dongtanensis,Altererythrobacter dongtanensis,138,1,2,0,5,0,6,1,8,4,16
NA,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,Altererythrobacter epoxidivorans,Altererythrobacter epoxidivorans,139,1,2,0,5,0,6,1,8,4,16
NA,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Altererythrobacter,Altererythrobacter ishigakiensis,Altererythrobacter ishigakiensis,140,0,0,0,1,0,1,4,3,3,8
NA,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Pelagerythrobacter,Pelagerythrobacter marensis,Altererythrobacter marensis,141,1,2,0,5,0,6,1,8,4,15
NA,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Erythrobacteraceae,Paraurantiacibacter,Paraurantiacibacter namhicola,Altererythrobacter namhicola,142,0,0,0,1,0,1,3,0,2,6
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,g_Alteromonas,Alteromonas,143,0,0,0,1,1,0,0,0,1,0
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas stellipolaris,Alteromonas addita,144,2,1,0,4,10,2,6,5,5,3
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas australica,Alteromonas australica,145,2,1,0,5,10,2,6,5,4,3
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas macleodii,Alteromonas macleodii,146,2,1,0,4,10,2,6,5,4,3
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas mediterranea,Alteromonas mediterranea,147,2,1,0,4,10,3,6,5,6,5
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas naphthalenivorans,Alteromonas naphthalenivorans,148,2,1,0,4,10,2,6,5,5,3
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas sp. Mac1,Alteromonas sp. Mac1,149,2,1,0,4,10,2,6,5,5,3
NA,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas stellipolaris,Alteromonas stellipolaris,150,2,1,0,4,10,2,6,5,5,3
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aminobacter,g_Aminobacter,Aminobacter,151,2,3,0,14,0,3,2,2,4,0
NA,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Phyllobacteriaceae,Aminobacter,Aminobacter aminovorans,Aminobacter aminovorans,152,6,14,1,26,5,6998,6142,5823,5800,3298
NA,Synergistota,Synergistia,Synergistales,Aminobacteriaceae,Aminobacterium,Aminobacterium colombiense,Aminobacterium colombiense,153,3,4,1,7,0,0,1,0,1,6
NA,Bacillota,Clostridia,Thermoanaerobacterales,Thermoanaerobacteraceae,Ammonifex,Ammonifex degensii,Ammonifex degensii,154,2,3,0,18,1,3,4,5,2,5
NA,Bacillota,Bacilli,Bacillales,Bacillaceae,Amphibacillus,Amphibacillus xylanus,Amphibacillus xylanus,155,35,49,30,81,4,8,14,19,9,0
NA,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis mediterranei,Amycolatopsis mediterranei,156,0,0,0,0,0,0,0,0,0,1
NA,Actinomycetota,Actinomycetes,Pseudonocardiales,Pseudonocardiaceae,Amycolatopsis,Amycolatopsis methanolica,Amycolatopsis methanolica,157,0,0,0,0,1,0,1,0,0,0
NA,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,g_Anabaena,Anabaena,158,0,0,0,1,0,0,0,0,0,0
NA,Cyanobacteriota,Cyanophyceae,Nostocales,Nostocaceae,Anabaena,Anabaena cylindrica,Anabaena cylindrica,159,1,0,1,2,0,0,1,0,1,0
