Flags	1
SA-Sample	1 in 16
FTab-Chars	10
Sequence-59	NC_003709.1 Watermelon chlorotic stunt virus DNA B, complete sequence	2753
Sequence-60	NC_003850.1 Solanum nodiflorum mottle virus satellite RNA, complete genome	377
Sequence-61	NC_003867.1 Tomato mosaic Havana virus-[Quivican] DNA, segment A	2620
Sequence-62	NC_003868.1 Tomato mosaic Havana virus DNA B, complete sequence	2586
Sequence-63	NC_001540.1 Bovine parvovirus, complete genome	5517
Sequence-64	NC_001669.1 Simian virus 40, complete genome	5243
Sequence-65	NC_001706.1 Lactococcus phage c2, complete genome	22172
Sequence-66	NC_001884.1 Bacillus phage SPBc2, complete genome	134416
Sequence-67	NC_001936.1 Squash leaf curl virus A component DNA, complete sequence	2634
Sequence-68	NC_000924.1 Enterobacteria phage 933W, complete genome	61670
Sequence-69	NC_000935.1 Acyrthosiphon pisum bacteriophage APSE-1, complete genome	36524
Sequence-70	NC_001792.2 Porcine circovirus 1, complete genome	1758
Sequence-71	NC_002232.1 Rabbit oral papillomavirus, complete genome	7565
Sequence-72	NC_001418.1 Pseudomonas phage Pf3, complete genome	5833
Sequence-73	NC_001447.1 Acholeplasma phage L2, complete genome	11965
Sequence-74	NC_001484.1 Ground squirrel hepatitis virus, complete genome	3311
Sequence-75	NC_001538.1 BK polyomavirus, complete genome	5153
Sequence-76	NC_001697.1 Haemophilus phage HP1, complete genome	32355
Sequence-77	NC_002046.1 Sida golden mosaic virus coat protein (AV1), AC3 (AC3), transactivator protein (AC2), replication associated protein (AC1), and AC4 (AC4) genes, complete cds	2642
Sequence-78	NC_001956.1 Vibrio phage fs2, complete genome	8651
Sequence-79	NC_002331.1 Xestia c-nigrum granulovirus, complete genome	178733
Sequence-80	NC_001835.1 Lactococcus phage sk1, complete genome	28451
Sequence-81	NC_002543.1 Horseradish curly top virus, complete genome	3080
Sequence-82	NC_002593.1 Plutella xylostella granulovirus, complete genome	100999
Sequence-83	NC_002669.1 Lactococcus prophage bIL310, complete genome	14957
Sequence-84	NC_002747.1 Lactococcus phage TP901-1, complete genome	37667
Sequence-85	NC_002981.1 Ageratum yellow vein Sri Lanka virus segment A, complete genome	2748
Sequence-86	NC_003038.1 Invertebrate iridescent virus 6, complete genome	212482
Sequence-87	NC_003084.1 Culex nigripalpus NPV, complete genome	108252
Sequence-88	NC_003214.2 Sulfolobus islandicus filamentous virus, complete genome	40900
Sequence-89	NC_002515.1 Mycoplasma phage P1, complete genome	11660
Sequence-90	NC_003220.1 Planaria asexual strain-specific virus-like element type 1 large DNA segment, complete genome	5699
Sequence-91	NC_003219.1 Planaria asexual strain-specific virus-like element type 1 small DNA segment, complete genome	1911
Sequence-92	NC_003157.5 Streptococcus pyogenes strain NIH1 putative methionine sulfoxide reductase gene, complete cds; and integrated temperate phage PhiNIH1.1, complete genome	43106
Sequence-93	NC_003357.1 Soybean crinkle leaf virus, complete genome	2737
Sequence-94	NC_003382.1 Citrus yellow mosaic virus, complete genome	7559
Sequence-95	NC_009333.1 Human herpesvirus 8, complete genome	137969
Sequence-96	NC_003460.1 Propionibacterium phage B5, complete genome	5804
Sequence-97	NC_003556.1 Eupatorium yellow vein virus, complete genome	2766
Sequence-98	NC_003664.1 Tomato chlorotic mottle virus DNA A, complete sequence	2622
Sequence-99	NC_003665.1 Tomato chlorotic mottle virus DNA B, complete sequence	2573
Sequence-100	NC_003803.1 South African cassava mosaic virus DNA A, complete sequence	2800
Sequence-101	NC_003804.1 South African cassava mosaic virus DNA B, complete sequence	2760
Sequence-102	NC_003830.1 Chino del tomate virus DNA A, complete sequence	2634
Sequence-103	NC_003831.1 Chino del tomate virus DNA B, complete sequence	2579
Sequence-104	NC_003866.1 Cabbage leaf curl virus coat protein (AV1), replicase associated protein (AC3), transactivator protein (AC2), replicase associated protein (AC1) and AC4 genes, complete cds	2583
Sequence-105	NC_003887.1 Cabbage leaf curl virus nuclear shuttle movement protein (BV1) and movement/pathogenicity protein (BC1) genes, complete cds	2513
Sequence-106	NC_003896.1 Tomato leaf curl virus, complete genome	2766
Sequence-107	NC_001338.1 Sulfolobus virus 1 complete genome (provirus)	15465
Sequence-108	NC_001510.1 Minute virus of mice, complete genome	5149
Sequence-109	NC_001623.1 Autographa californica nucleopolyhedrovirus, complete genome	133894
Sequence-110	NC_001693.1 Human papillomavirus type 60, complete genome	7313
Sequence-111	NC_001270.2 Spiroplasma phage SVTS2, complete genome	6825
Sequence-112	NC_001931.1 Bean dwarf mosaic virus DNA A, complete genome	2615
Sequence-113	NC_001930.1 Bean dwarf mosaic virus DNA B, complete genome	2576
Sequence-114	NC_001993.1 Melanoplus sanguinipes entomopoxvirus, complete genome	236120
Sequence-115	NC_000882.1 Pepper leaf curl virus, complete genome	2744
Sequence-116	NC_002188.1 Fowlpox virus, complete genome	288539
Sequence-117	NC_001648.1 Cassava vein mosaic virus, complete genome	8159
Sequence-118	NC_001401.2 Adeno-associated virus - 2, complete genome	4679
Sequence-119	NC_001935.1 Potato yellow mosaic virus DNA B, complete sequence	2547
Sequence-120	NC_001478.1 Digitaria streak virus, complete genome	2701
Sequence-121	NC_001523.1 Deer papillomavirus, complete genome	8374
Sequence-122	NC_001662.1 Aleutian mink disease virus, complete genome	4801
Sequence-123	NC_001828.1 Tomato mottle Taino virus DNA A, complete sequence	2597
Sequence-124	NC_001917.1 Tomato mottle Taino virus DNA B, complete sequence	2562
Sequence-125	NC_001909.1 Lactococcus phage bIL170, complete genome	31754
Sequence-126	NC_000936.1 Periplaneta fuliginosa densovirus, complete genome	5454
Sequence-127	NC_002510.1 Cotton leaf curl Gezira virus, complete genome	2764
Sequence-128	NC_002531.1 Alcelaphine herpesvirus 1, complete genome	130608
Sequence-129	NC_002577.1 Gallid herpesvirus 3, complete genome	164270
Sequence-130	NC_002643.1 Bdellovibrio phage phiMH2K, complete genome	4594
Sequence-131	NC_002666.1 Lactococcus prophage bIL285, complete genome	35538
Sequence-132	NC_002730.1 Enterobacteria phage HK620, complete genome	38297
Sequence-133	NC_002817.1 Tobacco leaf curl Zimbabwe virus, complete genome	2767
Sequence-134	NC_003031.1 Sugarcane bacilliform IM virus, complete genome	7687
Sequence-135	NC_003083.1 Epiphyas postvittana NPV, complete genome	118584
Sequence-136	NC_002703.1 Lactococcus phage Tuc2009, complete genome	38347
Sequence-137	NC_002486.1 Staphylococcus prophage phiPV83, complete genome	45636
Sequence-138	NC_002670.1 Lactococcus prophage bIL311, complete genome	14510
Sequence-139	NC_003313.1 Vibrio phage K139, complete genome	33106
Sequence-140	NC_003380.1 Rice yellow mottle virus satellite, complete genome	220
Sequence-141	NC_003391.1 Camelpox virus, complete genome	205719
Sequence-142	NC_003444.1 Enterobacteria phage SfV, complete genome	37074
Sequence-143	NC_003524.1 Clostridium phage phi3626, complete genome	33507
Sequence-144	NC_003540.1 Chrysanthemum chlorotic mottle viroid, complete genome	399
Sequence-145	NC_003663.2 Cowpox virus, complete genome	224499
Sequence-146	NC_003793.1 Spiroplasma phage 1-C74, complete genome	7768
Sequence-147	NC_008058.1 Tomato golden mottle virus DNA A, complete sequence	2614
Sequence-148	NC_008057.1 Tomato golden mottle virus DNA B, complete sequence	2558
Sequence-149	NC_003865.1 Melon chlorotic leaf curl virus DNA A, complete sequence	2663
Sequence-150	NC_003860.1 Squash yellow mild mottle virus DNA B, complete sequence	2662
Sequence-151	NC_003891.1 Tomato leaf curl Bangalore virus, complete genome	2749
Sequence-152	NC_003906.1 Velvet tobacco mottle virus Satellite RNA, complete genome	366
Sequence-153	NC_002048.1 Potato yellow mosaic Panama virus segment A, complete sequence	2584
Sequence-154	NC_002049.1 Potato yellow mosaic Panama virus segment B, complete sequence	2542
Sequence-155	NC_001493.2 Ictalurid herpesvirus 1 strain Auburn 1, complete genome	134226
Sequence-156	NC_001605.1 Mastomys natalensis papillomavirus, complete genome	7687
Sequence-157	NC_001690.1 Human papillomavirus type 48, complete genome	7100
Sequence-158	NC_001839.2 Petunia vein clearing virus, complete genome	7206
Sequence-159	NC_001899.1 Diatraea saccharalis densovirus, complete genome	5941
Sequence-160	NC_001987.1 Ateline herpesvirus 3 complete genome	108409
Sequence-161	NC_000871.1 Streptococcus phage Sfi19, complete genome	37370
Sequence-162	NC_002185.1 Streptococcus phage 7201, complete genome	35466
Sequence-163	NC_001718.1 Porcine parvovirus, complete genome	5075
Sequence-164	NC_001359.1 Pepper huasteco yellow vein virus segment A, complete sequence	2631
Sequence-165	NC_001369.1 Pepper huasteco yellow vein virus segment B, complete sequence	2589
Sequence-166	NC_001741.1 Chlamydia phage Chp1, complete genome	4877
Sequence-167	NC_001466.1 Chloris striate mosaic virus, complete genome	2750
Sequence-168	NC_001507.1 Tomato golden mosaic virus DNA A, complete sequence	2588
Sequence-169	NC_001508.1 Tomato golden mosaic virus DNA B, complete sequence	2508
Sequence-170	NC_001647.1 Panicum streak virus - Karino, complete genome	2705
Sequence-171	NC_001824.1 Lymphocystis disease virus 1, complete genome	102653
Sequence-172	NC_001901.1 Bacteriophage N15, complete genome	46375
Sequence-173	NC_000883.2 Human parvovirus B19, complete genome	5596
Sequence-174	NC_002363.1 Vibrio phage VfO4K68, complete genome	6891
Sequence-175	NC_001701.1 Goose parvovirus, complete genome	5106
Sequence-176	NC_002557.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 1, complete sequence	4361
Sequence-177	NC_002565.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 10, complete sequence	897
Sequence-178	NC_002566.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 11, complete sequence	200
Sequence-179	NC_002558.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 2, complete sequence	4187
Sequence-180	NC_002559.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 3, complete sequence	3878
Sequence-181	NC_002567.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 4, complete sequence	3311
Sequence-182	NC_002560.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 5, complete sequence	2260
Sequence-183	NC_002561.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 6, complete sequence	1859
Sequence-184	NC_002562.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 7, complete sequence	1776
Sequence-185	NC_002563.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 8, complete sequence	1234
Sequence-186	NC_002564.1 Trichoplusia ni cytoplasmic polyhedrosis virus 15 segment 9, complete sequence	1157
Sequence-187	NC_002641.1 Meleagrid herpesvirus 1, complete genome	159160
Sequence-188	NC_002665.1 Bovine herpesvirus 4 long unique region, complete sequence	108873
Sequence-189	NC_002687.1 Ectocarpus siliculosus virus 1, complete genome	335593
Sequence-190	NC_002816.1 Cydia pomonella granulovirus, complete genome	123500
Sequence-191	NC_003027.1 Lumpy skin disease virus NI-2490, complete genome	150773
Sequence-192	NC_003059.1 Porcine endogenous retrovirus E, complete genome	8072
Sequence-193	NC_003199.1 Cotton leaf curl Rajasthan virus segment A, complete genome	2754
Sequence-194	NC_002169.1 Spodoptera exigua nucleopolyhedrovirus complete genome	135611
Sequence-195	NC_003102.1 Spodoptera litura NPV, complete genome	139342
Sequence-196	NC_003291.2 Bacteriophage PSA, complete genome	37618
Sequence-197	NC_003345.1 Halorubrum phage HF2, complete genome	77670
Sequence-198	NC_003379.1 Miscanthus streak virus - [91], complete genome	2672
Sequence-199	NC_003389.1 Swinepox virus, complete genome	146454
Sequence-200	NC_003438.1 Spiroplasma phage 4, complete genome	4421
Sequence-201	NC_003504.1 Bean calico mosaic virus DNA A coat protein (AV1), replication enhancer protein (AC3), transcription activator protein (AC2), replication initiator protein (AC1), and AC4 (AC4) genes, complete cds	2603
Sequence-202	NC_003505.1 Bean calico mosaic virus DNA B, complete sequence	2572
Sequence-203	NC_003533.1 Cereal yellow dwarf virus-RPV satellite RNA, complete genome	322
Sequence-204	NC_003648.1 Milk vetch dwarf virus segment DNA-R, complete sequence	1001
Sequence-205	NC_003642.1 Milk vetch dwarf virus segment DNA-U1, complete sequence	989
Sequence-206	NC_003643.1 Milk vetch dwarf virus segment DNA-N, complete sequence	977
Sequence-207	NC_003644.1 Milk vetch dwarf virus segment DNA-U2, complete sequence	981
Sequence-208	NC_003645.1 Milk vetch dwarf virus segment DNA-M, complete sequence	985
Sequence-209	NC_003646.1 Milk vetch dwarf virus segment DNA-S, complete sequence	997
Sequence-210	NC_003641.1 Milk vetch dwarf virus genome segment DNA-C encoding viral non-structural protein, complete sequence	990
Sequence-211	NC_023626.1 Milk vetch dwarf virus DNA, segment DNA-U4, complete sequence	991
Sequence-212	NC_003744.1 Sugarcane streak virus - [Natal], complete genome	2758
Sequence-213	NC_003822.1 Tobacco yellow dwarf virus, complete genome	2580
Sequence-214	NC_003856.1 Dicliptera yellow mottle virus DNA A, complete sequence	2607
Sequence-215	NC_003857.1 Dicliptera yellow mottle virus DNA B, complete sequence	2597
Sequence-216	NC_003889.1 Tobacco ringspot virus satellite RNA, complete genome	359
Sequence-217	NC_003898.1 Tomato leaf curl Taiwan virus, complete genome	2739
Sequence-218	NC_004003.1 Goatpox virus Pellor, complete genome	149599
Sequence-219	NC_003897.1 Tomato leaf curl Karnataka virus, complete genome	2759
Sequence-220	NC_004002.1 Sheeppox virus 17077-99, complete genome	149955
Sequence-221	NC_001439.1 Bean golden yellow mosaic virus DNA A, complete sequence	2647
Sequence-222	NC_001438.1 Bean golden yellow mosaic virus DNA B, complete sequence	2585
Sequence-223	NC_001416.1 Enterobacteria phage lambda, complete genome	48502
Sequence-224	NC_004092.1 Hollyhock leaf crumple virus satellite DNA, complete genome	741
Sequence-225	NC_004107.1 Woodchuck hepatitis virus, complete genome	3323
Sequence-226	NC_004165.1 Bacillus phage B103, complete genome	18630
Sequence-227	NC_004286.1 Galleria mellonella densovirus, complete genome	6039
Sequence-228	NC_004302.1 Bacteriophage r1t integrase, repressor protein (rro), dUTPase, holin and lysin genes, complete cds	33350
Sequence-229	NC_004450.1 Taro bacilliform virus complete genome	7458
Sequence-230	NC_000867.1 Pseudoalteromonas phage PM2, complete genome	10079
Sequence-231	NC_004583.1 Cotton leaf curl Kokhran virus, complete genome	2748
Sequence-232	NC_004614.1 Tomato leaf curl Bangladesh virus, complete genome	2761
Sequence-233	NC_004627.1 Ageratum yellow vein Taiwan virus, complete genome	2734
Sequence-234	NC_004635.2 Sida golden yellow vein virus-[Jamaica:Liguanea2:2008] DNA-A, complete genome	2608
Sequence-235	NC_014799.1 Sida golden yellow vein virus-[Jamaica:Liguanea2:2008] DNA-B, complete genome	2542
Sequence-236	NC_010294.1 Rhynchosia golden mosaic virus DNA A, complete sequence	2604
Sequence-237	NC_010293.1 Rhynchosia golden mosaic virus DNA B, complete sequence	2551
Sequence-238	NC_004657.1 Sida golden mosaic Costa Rica virus DNA A, complete sequence	2605
Sequence-239	NC_004658.1 Sida golden mosaic Costa Rica virus DNA B, complete sequence	2587
Sequence-240	NC_004673.1 Okra yellow vein mosaic virus, complete genome	2739
Sequence-241	NC_004681.1 Mycobacterium phage Cjw1, complete genome	75931
Sequence-242	NC_004689.1 Mycobacterium phage Barnyard, complete genome	70797
Sequence-243	NC_004736.1 Vibrio phage VGJphi, complete genome	7542
Sequence-244	NC_004775.1 Enterobacteria phage epsilon15, complete genome	39671
Sequence-245	NC_002628.3 Methanothermobacter wolfeii prophage psiM100, complete genome; flanked by Methanothermobacter wolfeii MTW1216 (mtw1216) and MTW1215 (mtw1215) genes, complete cds	31007
Sequence-246	NC_004913.3 Stx1 converting phage DNA, complete genome	59866
Sequence-247	NC_005032.1 Tomato leaf curl Philippines virus, complete genome	2755
Sequence-248	NC_005066.1 Enterobacteria phage RB49, complete genome	164018
Sequence-249	NC_005091.2 Burkholderia phage BcepNazgul, complete genome	57455
Sequence-250	NC_004914.3 Stx2 converting phage II DNA, complete genome	62706
Sequence-251	NC_005264.1 Psittacid herpesvirus 1, complete genome	163025
Sequence-252	NC_001420.2 Enterobacteria phage G4, complete genome	5577
Sequence-253	NC_004466.2 Pseudomonas aeruginosa phage PaP3, complete genome	45503
Sequence-254	NC_001619.1 Lambdapapillomavirus 2, complete genome	8607
Sequence-255	NC_003309.1 Burkholderia phage phiE125, complete genome	53373
Sequence-256	NC_005262.3 Burkholderia cepacia phage Bcep22, complete genome	63882
Sequence-257	NC_004686.1 Mycobacterium phage Che9d, complete genome	56276
Sequence-258	NC_005330.1 Sida micrantha mosaic virus segment A, complete sequence	2675
Sequence-259	NC_005331.1 Sida micrantha mosaic virus segment B, complete sequence	2656
Sequence-260	NC_005347.1 Pepper yellow vein Mali virus, complete genome	2786
Sequence-261	NC_005356.1 Staphylococcus phage 77, complete genome	41708
Sequence-262	NC_005635.1 Horsegram yellow mosaic virus, complete genome	2728
Sequence-263	NC_005636.1 Horsegram yellow mosaic virus DNA B, complete genome	2677
Sequence-264	NC_005812.1 Tomato yellow leaf curl Kanchanaburi virus DNA A, complete sequence	2752
Sequence-265	NC_005811.1 Tomato yellow leaf curl Kanchanaburi virus DNA B, complete sequence	2752
Sequence-266	NC_005832.1 Ambystoma tigrinum virus, complete genome	106332
Sequence-267	NC_004048.1 Satellites of Trichomonas vaginalis T1 virus, complete genome	497
Sequence-268	NC_004068.1 Fringilla coelebs papillomavirus, complete genome	7729
Sequence-269	NC_004093.1 OkLCV satDNA 10, complete genome	1305
Sequence-270	NC_004147.1 Papaya leaf curl virus, complete genome	2746
Sequence-271	NC_004167.1 Bacteriophage phi-105 DNA, complete sequence	39325
Sequence-272	NC_004288.1 Casphalia extranea densovirus, complete genome	5002
Sequence-273	NC_004303.1 Streptococcus phage O1205, complete genome	43075
Sequence-274	NC_004348.1 Enterobacteria phage ST64T, complete genome	40679
Sequence-275	NC_004456.1 Vibrio phage VHML, complete genome	43198
Sequence-276	NC_004558.1 Tomato leaf curl Gujarat virus - [Varanasi] segment A, complete sequence	2757
Sequence-277	NC_004559.1 Tomato leaf curl Gujarat virus - [Varanasi] segment B, complete sequence	2688
Sequence-278	NC_004607.1 Cotton leaf curl Multan virus, complete genome	2751
Sequence-279	NC_004615.1 Staphylococcus phage 11, complete genome	43604
Sequence-280	NC_004628.1 Chilli leaf curl virus, complete genome	2754
Sequence-281	NC_004637.1 Sida mottle virus, complete genome	2668
Sequence-282	NC_004647.1 Tomato leaf curl Sri Lanka virus, complete genome	2756
Sequence-283	NC_004659.1 Sida golden mosaic Honduras virus DNA A, complete sequence	2603
Sequence-284	NC_004660.1 Sida golden mosaic Honduras virus DNA B, complete sequence	2589
Sequence-285	NC_004675.1 Tomato curly stunt virus, complete genome	2766
Sequence-286	NC_004683.1 Mycobacterium phage Che9c, complete genome	57050
Sequence-287	NC_004682.1 Mycobacterium phage Bxz2, complete genome	50913
Sequence-288	NC_004745.1 Yersinia phage L-413C, complete genome	30728
Sequence-289	NC_004800.1 Goose hemorrhagic polyomavirus, complete genome	5256
Sequence-290	NC_004824.1 Loofa yellow mosaic virus DNA A, complete sequence	2742
Sequence-291	NC_004825.1 Loofa yellow mosaic virus DNA B, complete sequence	2713
Sequence-292	NC_004927.1 Halovirus HF1, complete genome	75898
Sequence-293	NC_005038.1 Adoxophyes orana granulovirus, complete genome	99657
Sequence-294	NC_005068.1 Cryptophlebia leucotreta granulovirus, complete genome	110907
Sequence-295	NC_005131.2 Ralstonia phage p12J, complete genome	7118
Sequence-296	NC_005258.1 Bacillus phage Bam35c, complete genome	14935
Sequence-297	NC_004305.1 Lactobacillus phage phig1e, complete genome	42259
Sequence-298	NC_001729.1 Adeno-associated virus - 3, complete genome	4726
Sequence-299	NC_005282.1 Enterobacteria phage Felix 01, complete genome	86155
Sequence-300	NC_001691.1 Human papillomavirus type 50, complete genome	7184
Sequence-301	NC_004066.1 Lactococcus phage ul36, complete genome	36798
Sequence-302	NC_003298.1 Enterobacteria phage T3, complete genome	38208
Sequence-303	NC_005309.1 Canarypox virus, complete genome	359853
Sequence-304	NC_005348.1 Tomato leaf curl Mali virus, complete genome	2773
Sequence-305	NC_005357.1 Bordetella phage BPP-1, complete genome	42493
Sequence-306	NC_001868.1 Sugarcane streak Egypt virus - [Giza], complete genome	2706
Sequence-307	NC_005850.1 Tomato mosaic leaf curl virus DNA A, complete genome	2560
Sequence-308	NC_005851.1 Tomato mosaic leaf curl virus DNA B, complete genome	2525
Sequence-309	NC_005882.1 Burkholderia cenocepacia phage BcepMu, complete genome	36748
Sequence-310	NC_003973.1 Psittacus erithacus timneh papillomavirus, complete genome	7304
Sequence-311	NC_004043.1 Bean golden mosaic virus DNA B, complete sequence	2580
Sequence-312	NC_001900.1 Mycobacterium phage D29, complete genome	49136
Sequence-313	NC_004084.1 Natrialba phage PhiCh1, complete genome	58498
Sequence-314	NC_004105.1 Ectromelia virus, complete genome	209771
Sequence-315	NC_004156.2 Helicoverpa zea nudivirus 2, complete genome	231621
Sequence-316	NC_004195.1 Bovine papillomavirus type 5, complete genome	7841
Sequence-317	NC_004295.1 Human erythrovirus V9, complete genome	5028
Sequence-318	NC_004313.1 Salmonella phage ST64B, complete genome	40149
Sequence-319	NC_003414.1 Ageratum yellow vein Singapore alphasatellite-[Singapore;1998], complete genome	1360
Sequence-320	NC_004540.1 Kalanchoe top-spotting virus, complete genome	7591
Sequence-321	NC_004582.1 Cotton leaf curl Alabad virus, complete genome	2744
Sequence-322	NC_004613.1 Tomato leaf curl Laos virus, complete genome	2748
Sequence-323	NC_004617.1 Staphylococcus prophage phi 13, complete genome	42722
Sequence-324	NC_004634.1 Malvastrum yellow vein virus, complete genome	2731
Sequence-325	NC_004640.1 Sweet potato leaf curl Georgia virus, complete genome	2773
Sequence-326	NC_004654.1 Tobacco leaf curl Japan virus, complete genome	2761
Sequence-327	NC_004665.1 Pseudomonas phage gh-1, complete genome	37359
Sequence-328	NC_004679.1 Staphylococcus phage phiP68, complete genome	18227
Sequence-329	NC_004688.1 Mycobacterium phage Omega, complete genome	110865
Sequence-330	NC_004764.2 Budgerigar fledgling disease virus - 1, complete genome	4981
Sequence-331	NC_004814.1 Streptococcus phage C1, complete genome	16687
Sequence-332	NC_004902.1 Xanthomonas phage Xp10, complete genome	44373
Sequence-333	NC_005031.1 Tomato leaf curl Java virus, complete genome	2752
Sequence-334	NC_004684.1 Mycobacterium phage Rosebush, complete genome	67480
Sequence-335	NC_004687.1 Mycobacterium phage Bxz1, complete genome	156102
Sequence-336	NC_005261.2 Bovine herpesvirus 5, complete genome	137821
Sequence-337	NC_005265.1 Sulfolobus virus 2, complete genome	14796
Sequence-338	NC_005135.1 Aeromonas phage 44RR2.8t, complete genome	173591
Sequence-339	NC_001396.1 Xanthomonas phage Cf1c, complete genome	7308
Sequence-340	NC_005178.1 Pseudomonas phage D3112, complete genome	37611
Sequence-341	NC_002668.1 Lactococcus prophage bIL309, complete genome	36949
Sequence-342	NC_005320.1 Tomato leaf curl China virus - [G32], complete sequence	2738
Sequence-343	NC_005341.1 Mythimna loreyi densovirus, complete genome	6034
Sequence-344	NC_005355.1 Lactobacillus prophage Lj965, complete genome	40190
